model,dataset,quantity,readout,fold,n,pearson,spearman,ci_lo,ci_hi,mean_abs_diff,reliability_letter,reliability_numeric,agreement_ceiling,disattenuated,seed,flip_all_items,top5pct_share_of_abs_influence,flip_drop_top5,flip_drop_random5,excess_top5,flip_drop_top10,flip_drop_random10,excess_top10,flip_drop_top20,flip_drop_random20,excess_top20
llama3_8b,truthfulqa,agreement,V_pos,all,817,0.18539371538808497,0.23735417826693303,0.1160213736634693,0.2553757927282489,0.18942303285105302,0.4014790154562491,0.7959785209176012,0.565304053498929,0.32795398200419273,,,,,,,,,,,,
llama3_8b,truthfulqa,agreement,V_neg,all,817,0.3261519943916505,0.3466247013300177,0.2630860637144268,0.38946074552020926,0.2664029812554269,0.5012285635719196,0.8953573344426471,0.6699094495723066,0.4868598205322783,,,,,,,,,,,,
llama3_8b,truthfulqa,agreement,gap,all,817,0.5284457009320322,0.6006219896451097,0.4778519850438917,0.5826641454325631,0.29771553622353525,0.5701041068168612,0.9119288928867677,0.7210370357753475,0.7328967510854454,,,,,,,,,,,,
llama3_8b,truthfulqa,tail,gap,test,326,,,,,,,,,,0.0,0.11387208265345583,0.21923806450611016,0.1010131786492326,0.11390769804575783,0.012894519396525236,0.10994914835220049,0.11369744198369788,0.003748293631497396,0.09854911268705985,0.1143143483632392,0.01576523567617935
llama3_8b,truthfulqa,tail,gap,test,326,,,,,,,,,,1.0,0.12143787041793941,0.2538519009273173,0.12854248542368885,0.12141812746058975,-0.007124357963099098,0.12064556489547029,0.12141002836593502,0.0007644634704647296,0.09169424474807558,0.12126473920130879,0.029570494453233204
llama3_8b,truthfulqa,tail,gap,test,326,,,,,,,,,,2.0,0.1173090409361498,0.21710033263588777,0.12085713434039352,0.11692591590180595,-0.003931218438587569,0.1284633500616139,0.11706637071445161,-0.0113969793471623,0.10854520514553079,0.11804350308673843,0.009498297941207642
llama3_8b,pavlick_nli,agreement,V_pos,all,496,0.22834058782214472,0.23945733243337503,0.13449394060372205,0.31223575422978456,0.3432882250316681,0.25149902090893383,0.3234647724010375,0.28522109591927464,0.8005739795865988,,,,,,,,,,,,
llama3_8b,pavlick_nli,agreement,V_neg,all,496,0.08616094096520194,0.10219956602762055,0.008407009307620403,0.16056921152012477,0.31804431121676197,0.1688798503333476,0.20400203749210372,0.18561205122341717,0.4641990668024669,,,,,,,,,,,,
llama3_8b,pavlick_nli,agreement,gap,all,496,0.1956469026227688,0.26820357149275703,0.07960637788890637,0.3021965284963055,0.032203685972959764,0.5858176433084528,0.12037625952294058,0.26555326521060846,0.7367520126992323,,,,,,,,,,,,
llama3_8b,pavlick_nli,tail,gap,test,198,,,,,,,,,,0.0,-0.35395410232598035,0.20242121303573538,-0.37398597596767746,-0.3540543694351841,0.019931606532493373,-0.3461802121733879,-0.3541396549075568,-0.007959442734168876,-0.2896479819666333,-0.35373670445171995,-0.06408872248508662
llama3_8b,pavlick_nli,tail,gap,test,198,,,,,,,,,,1.0,-0.25019678287115754,0.23517235433456712,-0.2817108586054003,-0.2498533835033714,0.03185747510202888,-0.259629170895357,-0.24945765320619537,0.010171517689161608,-0.1906747774533674,-0.24975548534133288,-0.05908070788796549
llama3_8b,pavlick_nli,tail,gap,test,198,,,,,,,,,,2.0,-0.3068273153012488,0.19102079144362555,-0.3251279528679746,-0.30651473768761905,0.018613215180355525,-0.3080723020334221,-0.3067323359195866,0.0013399661138355223,-0.287035431068993,-0.3063677292845995,-0.019332298215606503
