model,dataset,seed,example_id,y,V_pos_letter,V_pos_numeric,V_neg_letter,V_neg_numeric,gap_letter,gap_numeric,flip_influence,rank
llama3_8b,truthfulqa,0,7309e086efa70c46,0,0.602851927280426,0.3053799867630005,0.5717321634292603,0.10929134488105774,0.03111976385116577,0.19608864188194275,0.00046201729551414994,183
llama3_8b,truthfulqa,0,99d3790c2b6a39e5,0,0.6290477514266968,0.8267107605934143,0.5570231080055237,0.678255021572113,0.0720246434211731,0.14845573902130127,0.0018150364167441313,42
llama3_8b,truthfulqa,0,330636641b2e79fb,1,0.6877564787864685,0.9628028869628906,0.5795087218284607,0.05075543001294136,0.10824775695800781,0.9120474569499493,-0.0010466610921573971,97
llama3_8b,truthfulqa,0,cd59cf33b84dbbe0,1,0.7857515811920166,0.9726766347885132,0.7118361592292786,0.5979756116867065,0.07391542196273804,0.37470102310180664,-0.0022697904713366857,23
llama3_8b,truthfulqa,0,e1e88153983d6416,0,0.6315797567367554,0.48742058873176575,0.6615439653396606,0.8916343450546265,-0.029964208602905273,-0.4042137563228607,-0.00020440200052568303,263
llama3_8b,truthfulqa,0,ec54afb282b16e88,0,0.6905376315116882,0.7447728514671326,0.6963563561439514,0.276993066072464,-0.005818724632263184,0.4677797853946686,-0.0016895969686832046,52
llama3_8b,truthfulqa,0,8d6076d9a86359aa,1,0.7058863639831543,0.848338782787323,0.6421445608139038,0.3247503638267517,0.06374180316925049,0.5235884189605713,-0.0010090709504121387,99
llama3_8b,truthfulqa,0,67ef2142402c627c,0,0.6153167486190796,0.8340548872947693,0.6596842408180237,0.8616564273834229,-0.04436749219894409,-0.027601540088653564,-0.0004952945669062236,173
llama3_8b,truthfulqa,0,9957797aa845cb99,0,0.5132434368133545,0.8538351655006409,0.5394787788391113,0.14011110365390778,-0.026235342025756836,0.7137240618467331,-0.0035337893266304543,6
llama3_8b,truthfulqa,0,749069e3c4d13127,0,0.5333951711654663,0.8815549612045288,0.6741281151771545,0.9784483909606934,-0.14073294401168823,-0.09689342975616455,-0.00043893802023436956,190
llama3_8b,truthfulqa,0,599c3844d1a42987,0,0.6481513977050781,0.8249759674072266,0.5951322913169861,0.8753586411476135,0.05301910638809204,-0.05038267374038696,0.001909705269588724,38
llama3_8b,truthfulqa,0,7ae825e82c60c433,1,0.6073063015937805,0.8014503717422485,0.6120675802230835,0.4631466567516327,-0.0047612786293029785,0.33830371499061584,0.0008484802990006979,122
llama3_8b,truthfulqa,0,915f115a4d09bd62,0,0.5471974611282349,0.15746775269508362,0.5682175159454346,0.5842393636703491,-0.021020054817199707,-0.4267716109752655,-0.00011175805877022826,292
llama3_8b,truthfulqa,0,09b3ae7d34a6a05b,1,0.629040002822876,0.8610728979110718,0.622412919998169,0.8585482835769653,0.006627082824707031,0.0025246143341064453,-0.0006220663545647431,149
