model,dataset,seed,n_test,top_k,target_definition,forward_score,reverse_score,retained_overlap_fraction,overlap_ci_lo,overlap_ci_hi,retained_risk_reverse_minus_forward,risk_difference_ci_lo,risk_difference_ci_hi,sign_flip_fraction,retained_jaccard,forward_retained_risk,reverse_retained_risk,forward_aurc,reverse_aurc,forward_boundary_tie,reverse_boundary_tie,boundary_tie_rate,positive_to_negative,negative_to_positive,forward_ties,reverse_ties,forward_mass_pos_mean,forward_mass_neg_mean,reverse_mass_pos_mean,reverse_mass_neg_mean,risk_boot_lo_forward,risk_boot_hi_forward,risk_boot_lo_reverse,risk_boot_hi_reverse,aurc_boot_lo_forward,aurc_boot_hi_forward,aurc_boot_lo_reverse,aurc_boot_hi_reverse
llama3_8b,truthfulqa,0,326,66,1[logprob_pos_mean > logprob_neg_mean],conditional V+ - V-; letter11-v1,conditional V+ - V-; letter11-permuted,0.21212121212121213,0.12121212121212122,0.30303030303030304,0.09090909090909094,-0.045454545454545525,0.24242424242424243,0.44785276073619634,0.11864406779661017,0.5,0.5909090909090909,0.5043109677210341,0.5763462823372871,False,False,0.0,82,64,0,0,0.8553803241326033,0.8657151233930529,,,0.3787878787878788,0.6212121212121212,0.484469696969697,0.7121212121212122,0.42900430778407134,0.5761075642559168,0.5024427490399923,0.6504532407445844
llama3_8b,truthfulqa,1,326,66,1[logprob_pos_mean > logprob_neg_mean],conditional V+ - V-; letter11-v1,conditional V+ - V-; letter11-permuted,0.22727272727272727,0.12121212121212122,0.30303030303030304,0.10606060606060608,-0.045454545454545414,0.2575757575757576,0.4723926380368098,0.1282051282051282,0.5303030303030303,0.6363636363636364,0.5236160466491451,0.5875280245777547,False,False,0.0,92,62,0,0,0.8538489305168573,0.8656236569574274,,,0.3939393939393939,0.6363636363636364,0.5,0.7424242424242424,0.4430448745511126,0.6036085566516005,0.514426680780147,0.6623101333468236
llama3_8b,truthfulqa,2,326,66,1[logprob_pos_mean > logprob_neg_mean],conditional V+ - V-; letter11-v1,conditional V+ - V-; letter11-permuted,0.15151515151515152,0.09090909090909091,0.25757575757575757,0.0,-0.1515151515151516,0.16666666666666663,0.49693251533742333,0.08196721311475409,0.5757575757575758,0.5757575757575758,0.5311563579994476,0.5636085018138925,False,False,0.0,99,63,0,0,0.8551134596938735,0.8660080998770299,,,0.45454545454545453,0.696969696969697,0.45454545454545453,0.696969696969697,0.45632038413740306,0.6048290741139977,0.48899181063818287,0.6418616156451318
llama3_8b,pavlick_nli,0,198,40,1[logprob_pos_mean > logprob_neg_mean],conditional V+ - V-; letter11-v1,conditional V+ - V-; letter11-permuted,0.225,0.075,0.325,0.45,0.24999999999999997,0.6,0.43434343434343436,0.1267605633802817,0.05,0.5,0.2364537007337363,0.39170030261620287,False,False,0.0,62,24,0,0,0.9413956494042368,0.9412499476562847,,,0.0,0.175,0.325,0.65,0.16765062182073354,0.3132698098623553,0.29197733363687167,0.48734207303928456
llama3_8b,pavlick_nli,1,198,40,1[logprob_pos_mean > logprob_neg_mean],conditional V+ - V-; letter11-v1,conditional V+ - V-; letter11-permuted,0.175,0.075,0.3,0.35,0.125,0.525,0.4898989898989899,0.0958904109589041,0.1,0.45,0.2505726737599988,0.3950991362485448,False,False,0.0,74,23,0,0,0.9424004283818331,0.9421265251708754,,,0.025,0.225,0.275,0.625,0.17001964143080184,0.33629468943587937,0.30281619632975826,0.4923120616618022
llama3_8b,pavlick_nli,2,198,40,1[logprob_pos_mean > logprob_neg_mean],conditional V+ - V-; letter11-v1,conditional V+ - V-; letter11-permuted,0.175,0.07437500000000004,0.275,0.25,0.04999999999999999,0.45,0.43434343434343436,0.0958904109589041,0.175,0.425,0.25408499820947245,0.37020851943061955,False,False,0.0,64,22,0,0,0.9430090529148025,0.9424512597045513,,,0.075,0.3,0.25,0.6,0.1871917749550435,0.34010273855201417,0.2817861984459451,0.46767373778938587
mistral_7b,truthfulqa,0,326,66,1[logprob_pos_mean > logprob_neg_mean],conditional V+ - V-; letter11-v1,conditional V+ - V-; letter11-permuted,0.21212121212121213,0.10606060606060606,0.2878787878787879,0.04545454545454547,-0.10606060606060602,0.22727272727272724,0.4785276073619632,0.11864406779661017,0.45454545454545453,0.5,0.4808197151093449,0.4874370099724531,False,False,0.0,66,90,0,0,0.6111098600128677,0.6226195912419653,,,0.3181818181818182,0.5757575757575758,0.3787878787878788,0.6363636363636364,0.40515796989908126,0.556726054203163,0.4130361274935307,0.5678779580278832
mistral_7b,truthfulqa,1,326,66,1[logprob_pos_mean > logprob_neg_mean],conditional V+ - V-; letter11-v1,conditional V+ - V-; letter11-permuted,0.25757575757575757,0.15151515151515152,0.36363636363636365,0.15151515151515155,0.0,0.2878787878787879,0.5122699386503068,0.14782608695652175,0.42424242424242425,0.5757575757575758,0.47439039669144234,0.5320111642263746,False,False,0.0,73,94,0,0,0.610516217588647,0.6207820874598861,,,0.3181818181818182,0.5606060606060606,0.45454545454545453,0.6821969696969676,0.4015545625237153,0.5515159975802647,0.4601580514785357,0.6077885998513985
mistral_7b,truthfulqa,2,326,66,1[logprob_pos_mean > logprob_neg_mean],conditional V+ - V-; letter11-v1,conditional V+ - V-; letter11-permuted,0.21212121212121213,0.12121212121212122,0.30303030303030304,0.07575757575757575,-0.07575757575757575,0.2272727272727273,0.48466257668711654,0.11864406779661017,0.36363636363636365,0.4393939393939394,0.44223560328506534,0.4770007166472945,False,False,0.0,66,92,0,0,0.6118442021264621,0.6279836951589292,,,0.24242424242424243,0.48484848484848486,0.3333333333333333,0.5757575757575758,0.368183351774707,0.5169535131177126,0.4023469946984683,0.5560335929413376
mistral_7b,pavlick_nli,0,198,40,1[logprob_pos_mean > logprob_neg_mean],conditional V+ - V-; letter11-v1,conditional V+ - V-; letter11-permuted,0.4,0.2,0.475,-0.024999999999999994,-0.125,0.125,0.4595959595959596,0.25,0.175,0.15,0.18368858084976994,0.1972750444241007,False,False,0.0,49,42,0,0,0.8594870209091842,0.8525735844265331,,,0.05,0.275,0.05,0.275,0.11808102633181186,0.25031673575891633,0.1161010790848232,0.280125859458878
mistral_7b,pavlick_nli,1,198,40,1[logprob_pos_mean > logprob_neg_mean],conditional V+ - V-; letter11-v1,conditional V+ - V-; letter11-permuted,0.35,0.175,0.45,0.0,-0.09999999999999999,0.175,0.45454545454545453,0.21212121212121213,0.15,0.15,0.1533616030229816,0.20013802644393863,False,False,0.0,53,37,0,0,0.8601350227389672,0.853928553636628,,,0.025,0.25,0.05,0.3,0.09731852291785888,0.21934512552331983,0.12460272072667145,0.2850812418374426
