model,dataset,seed,readout,high_level,n_test,AURC_sq,AURC_report,delta,effective_bins,max_bin_mass,measurable
llama3_8b,truthfulqa,0,mean,0.7,326,0.4820651053049444,0.5043109677210341,-0.022245862416089723,4.48696102146538,0.44430844553243576,True
llama3_8b,truthfulqa,0,argmax,0.7,326,0.4820651053049444,0.5610209909562339,-0.07895588565128953,3.8041519835381523,0.6609547123623011,True
llama3_8b,truthfulqa,0,median,0.7,326,0.4820651053049444,0.5264969577911093,-0.04443185248616488,3.1446507721353494,0.6034271725826194,True
llama3_8b,truthfulqa,0,mass_hi,0.7,326,0.4820651053049444,0.5095497299692577,-0.02748462466431334,7.444851424505075,0.26805385556915545,True
llama3_8b,truthfulqa,1,mean,0.7,326,0.4955472896675379,0.5236160466491445,-0.028068756981606602,4.48696102146538,0.44430844553243576,True
llama3_8b,truthfulqa,1,argmax,0.7,326,0.4955472896675379,0.5878435988004354,-0.09229630913289744,3.8041519835381523,0.6609547123623011,True
llama3_8b,truthfulqa,1,median,0.7,326,0.4955472896675379,0.556921581065838,-0.061374291398300085,3.1446507721353494,0.6034271725826194,True
llama3_8b,truthfulqa,1,mass_hi,0.7,326,0.4955472896675379,0.5321112874008582,-0.03656399773332031,7.444851424505075,0.26805385556915545,True
llama3_8b,truthfulqa,2,mean,0.7,326,0.4663650730480415,0.5311563579994474,-0.0647912849514059,4.48696102146538,0.44430844553243576,True
llama3_8b,truthfulqa,2,argmax,0.7,326,0.4663650730480415,0.582606313414946,-0.11624124036690447,3.8041519835381523,0.6609547123623011,True
llama3_8b,truthfulqa,2,median,0.7,326,0.4663650730480415,0.5632032591800032,-0.09683818613196177,3.1446507721353494,0.6034271725826194,True
llama3_8b,truthfulqa,2,mass_hi,0.7,326,0.4663650730480415,0.5416417120851299,-0.07527663903708842,7.444851424505075,0.26805385556915545,True
llama3_8b,pavlick_nli,0,mean,0.7,198,0.16783540850597495,0.23645370073373637,-0.06861829222776142,1.0676162390060882,0.9879032258064516,False
llama3_8b,pavlick_nli,0,argmax,0.7,198,0.16783540850597495,0.4716895659081185,-0.30385415740214355,1.401388049856662,0.9213709677419355,False
llama3_8b,pavlick_nli,0,median,0.7,198,0.16783540850597495,0.38942571288289657,-0.22159030437692162,1.1880589560961201,0.9637096774193549,False
llama3_8b,pavlick_nli,0,mass_hi,0.7,198,0.16783540850597495,0.2532549119090211,-0.08541950340304616,1.3357720491908727,0.9274193548387096,False
llama3_8b,pavlick_nli,1,mean,0.7,198,0.17566735721587876,0.2505726737599988,-0.07490531654412005,1.0676162390060882,0.9879032258064516,False
llama3_8b,pavlick_nli,1,argmax,0.7,198,0.17566735721587876,0.49498309437057314,-0.3193157371546944,1.401388049856662,0.9213709677419355,False
llama3_8b,pavlick_nli,1,median,0.7,198,0.17566735721587876,0.37504348745646926,-0.1993761302405905,1.1880589560961201,0.9637096774193549,False
llama3_8b,pavlick_nli,1,mass_hi,0.7,198,0.17566735721587876,0.26332663191286537,-0.08765927469698662,1.3357720491908727,0.9274193548387096,False
llama3_8b,pavlick_nli,2,mean,0.7,198,0.17369193402576233,0.25408499820947245,-0.08039306418371012,1.0676162390060882,0.9879032258064516,False
llama3_8b,pavlick_nli,2,argmax,0.7,198,0.17369193402576233,0.46146037431614273,-0.2877684402903804,1.401388049856662,0.9213709677419355,False
llama3_8b,pavlick_nli,2,median,0.7,198,0.17369193402576233,0.3868629789851185,-0.21317104495935618,1.1880589560961201,0.9637096774193549,False
llama3_8b,pavlick_nli,2,mass_hi,0.7,198,0.17369193402576233,0.27393816948431277,-0.10024623545855044,1.3357720491908727,0.9274193548387096,False
mistral_7b,truthfulqa,0,mean,0.7,326,0.42101118958080697,0.48081971510934474,-0.05980852552853777,4.891409758313021,0.38555691554467564,True
mistral_7b,truthfulqa,0,argmax,0.7,326,0.42101118958080697,0.5318053933631898,-0.1107942037823828,1.9939075115511933,0.806609547123623,False
mistral_7b,truthfulqa,0,median,0.7,326,0.42101118958080697,0.46146990864734716,-0.040458719066540194,4.641777884171081,0.39412484700122397,True
mistral_7b,truthfulqa,0,mass_hi,0.7,326,0.42101118958080697,0.47252023300808793,-0.051509043427280965,5.788402716059625,0.32558139534883723,True
mistral_7b,truthfulqa,1,mean,0.7,326,0.4090146258581201,0.4743903966914422,-0.06537577083332208,4.891409758313021,0.38555691554467564,True
mistral_7b,truthfulqa,1,argmax,0.7,326,0.4090146258581201,0.5478834031027522,-0.1388687772446321,1.9939075115511933,0.806609547123623,False
mistral_7b,truthfulqa,1,median,0.7,326,0.4090146258581201,0.47901933770137745,-0.07000471184325735,4.641777884171081,0.39412484700122397,True
mistral_7b,truthfulqa,1,mass_hi,0.7,326,0.4090146258581201,0.469588368588281,-0.06057374273016092,5.788402716059625,0.32558139534883723,True
mistral_7b,truthfulqa,2,mean,0.7,326,0.3750433802409797,0.442235603285065,-0.06719222304408529,4.891409758313021,0.38555691554467564,True
mistral_7b,truthfulqa,2,argmax,0.7,326,0.3750433802409797,0.5146373197093647,-0.13959393946838494,1.9939075115511933,0.806609547123623,False
mistral_7b,truthfulqa,2,median,0.7,326,0.3750433802409797,0.438779978996328,-0.06373659875534826,4.641777884171081,0.39412484700122397,True
mistral_7b,truthfulqa,2,mass_hi,0.7,326,0.3750433802409797,0.4456421248044633,-0.07059874456348358,5.788402716059625,0.32558139534883723,True
mistral_7b,pavlick_nli,0,mean,0.7,198,0.09757334751149181,0.18368858084976994,-0.08611523333827813,7.388410459230447,0.2560483870967742,True
mistral_7b,pavlick_nli,0,argmax,0.7,198,0.09757334751149181,0.19056580373977064,-0.09299245622827883,1.6839799119398033,0.8568548387096774,False
mistral_7b,pavlick_nli,0,median,0.7,198,0.09757334751149181,0.22951502077415925,-0.13194167326266742,7.360935473794026,0.2721774193548387,True
mistral_7b,pavlick_nli,0,mass_hi,0.7,198,0.09757334751149181,0.19081802091094108,-0.09324467339944927,9.574077766426809,0.19153225806451613,True
mistral_7b,pavlick_nli,1,mean,0.7,198,0.11487158781799926,0.15336160302298163,-0.03849001520498237,7.388410459230447,0.2560483870967742,True
mistral_7b,pavlick_nli,1,argmax,0.7,198,0.11487158781799926,0.19233128330904686,-0.0774596954910476,1.6839799119398033,0.8568548387096774,False
mistral_7b,pavlick_nli,1,median,0.7,198,0.11487158781799926,0.16184871664488618,-0.04697712882688691,7.360935473794026,0.2721774193548387,True
mistral_7b,pavlick_nli,1,mass_hi,0.7,198,0.11487158781799926,0.15426856446557305,-0.039396976647573786,9.574077766426809,0.19153225806451613,True
mistral_7b,pavlick_nli,2,mean,0.7,198,0.09188623510906328,0.13752808324789517,-0.04564184813883189,7.388410459230447,0.2560483870967742,True
mistral_7b,pavlick_nli,2,argmax,0.7,198,0.09188623510906328,0.17130221007120888,-0.0794159749621456,1.6839799119398033,0.8568548387096774,False
mistral_7b,pavlick_nli,2,median,0.7,198,0.09188623510906328,0.17086922676472144,-0.07898299165565816,7.360935473794026,0.2721774193548387,True
mistral_7b,pavlick_nli,2,mass_hi,0.7,198,0.09188623510906328,0.14124698759348073,-0.049360752484417444,9.574077766426809,0.19153225806451613,True
qwen2_5_7b,truthfulqa,0,mean,0.7,326,0.43204507546173415,0.2899383669353297,0.14210670852640445,11.588393082951912,0.43818849449204406,True
qwen2_5_7b,truthfulqa,0,argmax,0.7,326,0.43204507546173415,0.38885135179905217,0.04319372366268198,2.253503386045418,0.795593635250918,True
qwen2_5_7b,truthfulqa,0,median,0.7,326,0.43204507546173415,0.37457878957503504,0.05746628588669911,2.9391146816649227,0.7515299877600979,True
qwen2_5_7b,truthfulqa,0,mass_hi,0.7,326,0.43204507546173415,0.29542162813071005,0.1366234473310241,11.76097656463963,0.47368421052631576,True
qwen2_5_7b,truthfulqa,1,mean,0.7,326,0.4398372862906951,0.31181001956051746,0.1280272667301776,11.588393082951912,0.43818849449204406,True
qwen2_5_7b,truthfulqa,1,argmax,0.7,326,0.4398372862906951,0.4190646597028782,0.020772626587816867,2.253503386045418,0.795593635250918,True
qwen2_5_7b,truthfulqa,1,median,0.7,326,0.4398372862906951,0.408104437856771,0.0317328484339241,2.9391146816649227,0.7515299877600979,True
qwen2_5_7b,truthfulqa,1,mass_hi,0.7,326,0.4398372862906951,0.32248477613268023,0.11735251015801484,11.76097656463963,0.47368421052631576,True
qwen2_5_7b,truthfulqa,2,mean,0.7,326,0.37081989294121404,0.3144564900464808,0.05636340289473324,11.588393082951912,0.43818849449204406,True
qwen2_5_7b,truthfulqa,2,argmax,0.7,326,0.37081989294121404,0.4099695013720983,-0.039149608430884275,2.253503386045418,0.795593635250918,True
qwen2_5_7b,truthfulqa,2,median,0.7,326,0.37081989294121404,0.395352867936387,-0.024532974995172985,2.9391146816649227,0.7515299877600979,True
qwen2_5_7b,truthfulqa,2,mass_hi,0.7,326,0.37081989294121404,0.3201217971025447,0.050698095838669355,11.76097656463963,0.47368421052631576,True
qwen2_5_7b,pavlick_nli,0,mean,0.7,198,0.042455688969084894,0.04894299682181119,-0.006487307852726297,9.626390833994494,0.2842741935483871,True
qwen2_5_7b,pavlick_nli,0,argmax,0.7,198,0.042455688969084894,0.16228760770358372,-0.11983191873449883,2.7397772028767733,0.7338709677419355,True
qwen2_5_7b,pavlick_nli,0,median,0.7,198,0.042455688969084894,0.1176286014426004,-0.07517291247351551,3.6107490461208678,0.6592741935483871,True
qwen2_5_7b,pavlick_nli,0,mass_hi,0.7,198,0.042455688969084894,0.04049510164065341,0.001960587328431483,11.425697274310084,0.31048387096774194,True
qwen2_5_7b,pavlick_nli,1,mean,0.7,198,0.07021455925283282,0.061542933216331065,0.008671626036501755,9.626390833994494,0.2842741935483871,True
qwen2_5_7b,pavlick_nli,1,argmax,0.7,198,0.07021455925283282,0.17095347205498657,-0.10073891280215375,2.7397772028767733,0.7338709677419355,True
qwen2_5_7b,pavlick_nli,1,median,0.7,198,0.07021455925283282,0.1422962003690648,-0.07208164111623197,3.6107490461208678,0.6592741935483871,True
qwen2_5_7b,pavlick_nli,1,mass_hi,0.7,198,0.07021455925283282,0.058913277578145976,0.011301281674686844,11.425697274310084,0.31048387096774194,True
qwen2_5_7b,pavlick_nli,2,mean,0.7,198,0.03947399733216545,0.06129706898516444,-0.021823071652998988,9.626390833994494,0.2842741935483871,True
