model,dataset,readout,n_test_mean,delta_mean,delta_sd,AURC_sq_mean,AURC_report_mean,effective_bins,max_bin_mass,measurable,outcome
llama3_8b,pavlick_nli,argmax,198.0,-0.29248658482717954,0.020432586580904216,0.17239823324920536,0.46488481807638493,1.401388049856662,0.9213709677419355,False,not_measurable
llama3_8b,pavlick_nli,mass_hi,198.0,-0.09110833785286104,0.00799249794190378,0.17239823324920536,0.2635065711020664,1.3357720491908727,0.9274193548387096,False,not_measurable
llama3_8b,pavlick_nli,mean,198.0,-0.07463889098519715,0.005891905514134161,0.17239823324920536,0.2470371242344025,1.0676162390060882,0.9879032258064516,False,not_measurable
llama3_8b,pavlick_nli,median,198.0,-0.20517347574333636,0.020259035496151222,0.17239823324920536,0.3775717089925417,1.1880589560961201,0.9637096774193549,False,not_measurable
llama3_8b,truthfulqa,argmax,326.0,-0.07647546374875956,0.024776051503439797,0.48132582267350804,0.5578012864222677,3.8041519835381523,0.6609547123623011,True,does_not_improve
llama3_8b,truthfulqa,mass_hi,326.0,-0.04644175381157395,0.025381030481601626,0.48132582267350804,0.5277675764850821,7.444851424505075,0.26805385556915545,True,does_not_improve
llama3_8b,truthfulqa,mean,326.0,-0.038368634783034185,0.023067159702061312,0.48132582267350804,0.5196944574565423,4.48696102146538,0.44430844553243576,True,does_not_improve
llama3_8b,truthfulqa,median,326.0,-0.055813045926534965,0.037753440440053014,0.48132582267350804,0.537138868600043,3.1446507721353494,0.6034271725826194,True,does_not_improve
mistral_7b,pavlick_nli,argmax,198.0,-0.0840135311268543,0.014967047432278544,0.10144372347951809,0.1854572546063724,1.6839799119398033,0.8568548387096774,False,not_measurable
mistral_7b,pavlick_nli,mass_hi,198.0,-0.06066746751048013,0.02864917040475922,0.10144372347951809,0.16211119098999824,9.574077766426809,0.19153225806451613,True,does_not_improve
mistral_7b,pavlick_nli,mean,198.0,-0.056749032227364125,0.02568204634259911,0.10144372347951809,0.1581927557068822,7.388410459230447,0.2560483870967742,True,does_not_improve
mistral_7b,pavlick_nli,median,198.0,-0.08483780373697729,0.04571236809734292,0.10144372347951809,0.18628152721649538,7.360935473794026,0.2721774193548387,True,does_not_improve
mistral_7b,truthfulqa,argmax,326.0,-0.11017457609417658,0.025917384590955057,0.4016897318933023,0.5118643079874788,1.9939075115511933,0.806609547123623,False,not_measurable
mistral_7b,truthfulqa,mass_hi,326.0,-0.060893843573641936,0.00954887536728195,0.4016897318933023,0.46258357546694423,5.788402716059625,0.32558139534883723,True,does_not_improve
mistral_7b,truthfulqa,mean,326.0,-0.06412550646864856,0.003847352074668487,0.4016897318933023,0.4658152383619509,4.891409758313021,0.38555691554467564,True,does_not_improve
mistral_7b,truthfulqa,median,326.0,-0.055780683965247935,0.017493359189958,0.4016897318933023,0.45747041585855025,4.641777884171081,0.39412484700122397,True,does_not_improve
qwen2_5_7b,pavlick_nli,argmax,198.0,-0.11054373873831232,0.01706203561045097,0.050714748518027736,0.16125848725634007,2.7397772028767733,0.7338709677419355,True,does_not_improve
qwen2_5_7b,pavlick_nli,mass_hi,198.0,0.00278840968984771,0.008130629342393903,0.050714748518027736,0.04792633882818003,11.425697274310084,0.31048387096774194,True,improves
qwen2_5_7b,pavlick_nli,mean,198.0,-0.0065462511564078575,0.01524743429329334,0.050714748518027736,0.0572609996744356,9.626390833994494,0.2842741935483871,True,does_not_improve
qwen2_5_7b,pavlick_nli,median,198.0,-0.07439240961160756,0.011260582633304142,0.050714748518027736,0.12510715812963533,3.6107490461208678,0.6592741935483871,True,does_not_improve
qwen2_5_7b,truthfulqa,argmax,326.0,0.011383088268203037,0.033786628976236785,0.41423408489788116,0.4028509966296781,2.253503386045418,0.795593635250918,True,improves
qwen2_5_7b,truthfulqa,mass_hi,326.0,0.1015580177759028,0.045087592522528926,0.41423408489788116,0.3126760671219784,11.76097656463963,0.47368421052631576,True,improves
qwen2_5_7b,truthfulqa,mean,326.0,0.10883245938377184,0.04598161683717485,0.41423408489788116,0.3054016255141094,11.588393082951912,0.43818849449204406,True,improves
qwen2_5_7b,truthfulqa,median,326.0,0.02212108887355831,0.03885251894251637,0.41423408489788116,0.39211299602432287,2.9391146816649227,0.7515299877600979,True,improves
