model,dataset,seed,stratum,mass_lo,mass_hi,n_test,positive_rate,AURC_sq,AURC_report,delta,effective_bins,max_bin_mass,measurable
llama3_8b,truthfulqa,0,"low_[0,.70)",0.0,0.7,8,0.5,0.2556547619047619,0.6244047619047619,-0.36875,6.3745483761436015,0.41379310344827586,True
llama3_8b,truthfulqa,0,"mid_[.70,.90)",0.7,0.9,259,0.43243243243243246,0.49133734313649824,0.5061568705559369,-0.014819527419438705,4.378170758927402,0.44043887147335425,True
llama3_8b,truthfulqa,0,"high_[.90,1]",0.9,inf,59,0.4406779661016949,0.4774100568476118,0.47425071925415696,0.003159337593454825,4.080721482121692,0.4666666666666667,True
llama3_8b,truthfulqa,1,"low_[0,.70)",0.0,0.7,8,0.5,0.3577380952380952,0.3119047619047619,0.04583333333333328,6.3745483761436015,0.41379310344827586,True
llama3_8b,truthfulqa,1,"mid_[.70,.90)",0.7,0.9,262,0.4083969465648855,0.5035225914935617,0.535820208016697,-0.03229761652313534,4.378170758927402,0.44043887147335425,True
llama3_8b,truthfulqa,1,"high_[.90,1]",0.9,inf,56,0.375,0.4591227103917216,0.5214162898140801,-0.06229357942235847,4.080721482121692,0.4666666666666667,True
llama3_8b,truthfulqa,2,"low_[0,.70)",0.0,0.7,12,0.4166666666666667,0.5479347041847041,0.3375511063011063,0.21038359788359784,6.3745483761436015,0.41379310344827586,True
llama3_8b,truthfulqa,2,"mid_[.70,.90)",0.7,0.9,250,0.4,0.47677094902581857,0.546738872928546,-0.06996792390272738,4.378170758927402,0.44043887147335425,True
llama3_8b,truthfulqa,2,"high_[.90,1]",0.9,inf,64,0.4375,0.42408773830835006,0.5233878134242846,-0.09930007511593458,4.080721482121692,0.4666666666666667,True
llama3_8b,pavlick_nli,0,"low_[0,.70)",0.0,0.7,0,,,,,,,False
llama3_8b,pavlick_nli,0,"mid_[.70,.90)",0.7,0.9,0,,,,,,,False
llama3_8b,pavlick_nli,0,"high_[.90,1]",0.9,inf,198,0.5707070707070707,0.16783540850597495,0.23643982571986136,-0.06860441721388641,1.0676162390060882,0.9879032258064516,False
llama3_8b,pavlick_nli,1,"low_[0,.70)",0.0,0.7,0,,,,,,,False
llama3_8b,pavlick_nli,1,"mid_[.70,.90)",0.7,0.9,0,,,,,,,False
llama3_8b,pavlick_nli,1,"high_[.90,1]",0.9,inf,198,0.5656565656565656,0.17566735721587876,0.2505726737599988,-0.07490531654412005,1.0676162390060882,0.9879032258064516,False
llama3_8b,pavlick_nli,2,"low_[0,.70)",0.0,0.7,0,,,,,,,False
llama3_8b,pavlick_nli,2,"mid_[.70,.90)",0.7,0.9,0,,,,,,,False
llama3_8b,pavlick_nli,2,"high_[.90,1]",0.9,inf,198,0.5707070707070707,0.17369193402576233,0.25408499820947245,-0.08039306418371012,1.0676162390060882,0.9879032258064516,False
mistral_7b,truthfulqa,0,"low_[0,.70)",0.0,0.7,296,0.4594594594594595,0.4298188212560178,0.5033359715258385,-0.07351715026982075,4.816962227823529,0.388283378746594,True
mistral_7b,truthfulqa,0,"mid_[.70,.90)",0.7,0.9,30,0.6333333333333333,0.40179931274408714,0.28485698244493457,0.11694233029915257,5.018900941640792,0.3614457831325301,True
mistral_7b,truthfulqa,0,"high_[.90,1]",0.9,inf,0,,,,,,,False
mistral_7b,truthfulqa,1,"low_[0,.70)",0.0,0.7,292,0.4554794520547945,0.4197850237518418,0.5026910063974891,-0.0829059826456473,4.816962227823529,0.388283378746594,True
mistral_7b,truthfulqa,1,"mid_[.70,.90)",0.7,0.9,34,0.5882352941176471,0.3375467148425003,0.25610749392839827,0.08143922091410205,5.018900941640792,0.3614457831325301,True
mistral_7b,truthfulqa,1,"high_[.90,1]",0.9,inf,0,,,,,,,False
mistral_7b,truthfulqa,2,"low_[0,.70)",0.0,0.7,289,0.4463667820069204,0.409930523672903,0.4657845393996226,-0.05585401572671961,4.816962227823529,0.388283378746594,True
mistral_7b,truthfulqa,2,"mid_[.70,.90)",0.7,0.9,37,0.7027027027027027,0.20330989376973893,0.25340360649898347,-0.05009371272924454,5.018900941640792,0.3614457831325301,True
mistral_7b,truthfulqa,2,"high_[.90,1]",0.9,inf,0,,,,,,,False
mistral_7b,pavlick_nli,0,"low_[0,.70)",0.0,0.7,0,,,,,,,False
mistral_7b,pavlick_nli,0,"mid_[.70,.90)",0.7,0.9,188,0.7872340425531915,0.10143755240974636,0.2007991767927816,-0.09936162438303522,7.352852294602494,0.24786324786324787,True
