model,dataset,seed,readout,n_test,AURC_sq,AURC_report,delta
llama3_8b,truthfulqa,0,fixed_mean_gap,326,0.4820651053049443,0.5043109677210341,-0.022245862416089834
llama3_8b,truthfulqa,0,"probe_[V+,V-,gap]",326,0.4820651053049443,0.5050079330862304,-0.02294282778128609
llama3_8b,truthfulqa,1,fixed_mean_gap,326,0.49554728966753836,0.5236160466491451,-0.028068756981606713
llama3_8b,truthfulqa,1,"probe_[V+,V-,gap]",326,0.49554728966753836,0.5277572929461284,-0.03221000327859003
llama3_8b,truthfulqa,2,fixed_mean_gap,326,0.4663650730480416,0.5311563579994476,-0.06479128495140601
llama3_8b,truthfulqa,2,"probe_[V+,V-,gap]",326,0.4663650730480416,0.5311351635655894,-0.06477009051754784
llama3_8b,pavlick_nli,0,fixed_mean_gap,198,0.16783540850597495,0.2364537007337363,-0.06861829222776136
llama3_8b,pavlick_nli,0,"probe_[V+,V-,gap]",198,0.16783540850597495,0.24178933863068283,-0.07395393012470788
llama3_8b,pavlick_nli,1,fixed_mean_gap,198,0.17566735721587878,0.2505726737599988,-0.07490531654412003
llama3_8b,pavlick_nli,1,"probe_[V+,V-,gap]",198,0.17566735721587878,0.251387200822883,-0.07571984360700423
llama3_8b,pavlick_nli,2,fixed_mean_gap,198,0.17369193402576238,0.25408499820947245,-0.08039306418371006
llama3_8b,pavlick_nli,2,"probe_[V+,V-,gap]",198,0.17369193402576238,0.2541683890776554,-0.08047645505189299
mistral_7b,truthfulqa,0,fixed_mean_gap,326,0.42101118958080697,0.4808197151093449,-0.05980852552853794
mistral_7b,truthfulqa,0,"probe_[V+,V-,gap]",326,0.42101118958080697,0.4779443879641721,-0.056933198383365136
mistral_7b,truthfulqa,1,fixed_mean_gap,326,0.4090146258581203,0.47439039669144234,-0.06537577083332202
mistral_7b,truthfulqa,1,"probe_[V+,V-,gap]",326,0.4090146258581203,0.47842577697729183,-0.06941115111917151
mistral_7b,truthfulqa,2,fixed_mean_gap,326,0.3750433802409796,0.44223560328506534,-0.06719222304408573
mistral_7b,truthfulqa,2,"probe_[V+,V-,gap]",326,0.3750433802409796,0.43987976798309825,-0.06483638774211864
mistral_7b,pavlick_nli,0,fixed_mean_gap,198,0.09757334751149181,0.18368858084976994,-0.08611523333827813
mistral_7b,pavlick_nli,0,"probe_[V+,V-,gap]",198,0.09757334751149181,0.2146764286634498,-0.11710308115195799
mistral_7b,pavlick_nli,1,fixed_mean_gap,198,0.1148715878179992,0.1533616030229816,-0.03849001520498241
mistral_7b,pavlick_nli,1,"probe_[V+,V-,gap]",198,0.1148715878179992,0.19192656517377313,-0.07705497735577393
mistral_7b,pavlick_nli,2,fixed_mean_gap,198,0.0918862351090633,0.13752808324789514,-0.04564184813883185
mistral_7b,pavlick_nli,2,"probe_[V+,V-,gap]",198,0.0918862351090633,0.13775756495154265,-0.04587132984247935
qwen2_5_7b,truthfulqa,0,fixed_mean_gap,326,0.43204507546173404,0.28993836693532976,0.14210670852640428
qwen2_5_7b,truthfulqa,0,"probe_[V+,V-,gap]",326,0.43204507546173404,0.2987739548397015,0.13327112062203256
qwen2_5_7b,truthfulqa,1,fixed_mean_gap,326,0.43983728629069535,0.3118100195605175,0.12802726673017784
qwen2_5_7b,truthfulqa,1,"probe_[V+,V-,gap]",326,0.43983728629069535,0.3078794042687263,0.13195788202196906
qwen2_5_7b,truthfulqa,2,fixed_mean_gap,326,0.3708198929412142,0.3144564900464808,0.056363402894733405
qwen2_5_7b,truthfulqa,2,"probe_[V+,V-,gap]",326,0.3708198929412142,0.3099166126470469,0.060903280294167306
qwen2_5_7b,pavlick_nli,0,fixed_mean_gap,198,0.0424556889690849,0.048942996821811226,-0.006487307852726325
qwen2_5_7b,pavlick_nli,0,"probe_[V+,V-,gap]",198,0.0424556889690849,0.04994620491136829,-0.007490515942283386
qwen2_5_7b,pavlick_nli,1,fixed_mean_gap,198,0.07021455925283285,0.06154293321633108,0.008671626036501769
qwen2_5_7b,pavlick_nli,1,"probe_[V+,V-,gap]",198,0.07021455925283285,0.0779787645018021,-0.007764205248969258
qwen2_5_7b,pavlick_nli,2,fixed_mean_gap,198,0.039473997332165466,0.06129706898516448,-0.021823071652999015
qwen2_5_7b,pavlick_nli,2,"probe_[V+,V-,gap]",198,0.039473997332165466,0.05530014780495937,-0.015826150472793905
