model,dataset,readout,n_test_mean,delta_mean,delta_sd,AURC_sq_mean,AURC_report_mean
llama3_8b,pavlick_nli,fixed_mean_gap,198.0,-0.07463889098519715,0.005891905514134161,0.17239823324920536,0.2470371242344025
llama3_8b,pavlick_nli,"probe_[V+,V-,gap]",198.0,-0.07671674292786837,0.0033736017916156475,0.17239823324920536,0.24911497617707376
llama3_8b,truthfulqa,fixed_mean_gap,326.0,-0.038368634783034185,0.023067159702061312,0.48132582267350804,0.5196944574565423
llama3_8b,truthfulqa,"probe_[V+,V-,gap]",326.0,-0.039974307192474655,0.02196800601903688,0.48132582267350804,0.5213001298659827
mistral_7b,pavlick_nli,fixed_mean_gap,198.0,-0.056749032227364125,0.02568204634259911,0.10144372347951809,0.1581927557068822
mistral_7b,pavlick_nli,"probe_[V+,V-,gap]",198.0,-0.08000979611673709,0.03570768564450037,0.10144372347951809,0.1814535195962552
mistral_7b,truthfulqa,fixed_mean_gap,326.0,-0.06412550646864856,0.003847352074668487,0.4016897318933023,0.4658152383619509
mistral_7b,truthfulqa,"probe_[V+,V-,gap]",326.0,-0.0637269124148851,0.006312529425322264,0.4016897318933023,0.46541664430818735
qwen2_5_7b,pavlick_nli,fixed_mean_gap,198.0,-0.0065462511564078575,0.01524743429329334,0.050714748518027736,0.0572609996744356
qwen2_5_7b,pavlick_nli,"probe_[V+,V-,gap]",198.0,-0.010360290554682183,0.00473555117620576,0.050714748518027736,0.06107503907270992
qwen2_5_7b,truthfulqa,fixed_mean_gap,326.0,0.10883245938377184,0.04598161683717485,0.41423408489788116,0.3054016255141094
qwen2_5_7b,truthfulqa,"probe_[V+,V-,gap]",326.0,0.10871076097938964,0.04140769923584386,0.41423408489788116,0.3055233239184916
