model,dataset,target,n_test_mean,delta_mean,delta_sd,AURC_sq_mean,AURC_report_mean,effective_bins,max_bin_mass,measurable,outcome
llama3_8b,pavlick_nli,mean,198.0,-0.07463889098519715,0.005891905514134161,0.17239823324920536,0.2470371242344025,1.0676162390060882,0.9879032258064516,False,not_measurable
llama3_8b,pavlick_nli,sum,198.0,0.002978326688208558,0.02200264195544238,0.13444732802131495,0.13146900133310638,1.0676162390060882,0.9879032258064516,False,not_measurable
llama3_8b,truthfulqa,mean,326.0,-0.038368634783034185,0.023067159702061312,0.48132582267350804,0.5196944574565423,4.48696102146538,0.44430844553243576,True,does_not_improve
llama3_8b,truthfulqa,sum,326.0,-0.028033811780752798,0.01334460841265475,0.4853414276999011,0.5133752394806539,4.48696102146538,0.44430844553243576,True,does_not_improve
mistral_7b,pavlick_nli,mean,198.0,-0.056749032227364125,0.02568204634259911,0.10144372347951809,0.1581927557068822,7.388410459230447,0.2560483870967742,True,does_not_improve
mistral_7b,pavlick_nli,sum,198.0,-0.15895938434898613,0.026413967852228545,0.08873096797307833,0.24769035232206446,7.388410459230447,0.2560483870967742,True,does_not_improve
mistral_7b,truthfulqa,mean,326.0,-0.06412550646864856,0.003847352074668487,0.4016897318933023,0.4658152383619509,4.891409758313021,0.38555691554467564,True,does_not_improve
mistral_7b,truthfulqa,sum,326.0,-0.04106546780513711,0.009761249630745346,0.4393664421675891,0.48043190997272617,4.891409758313021,0.38555691554467564,True,does_not_improve
qwen2_5_7b,pavlick_nli,mean,198.0,-0.0065462511564078575,0.01524743429329334,0.050714748518027736,0.0572609996744356,9.626390833994494,0.2842741935483871,True,does_not_improve
qwen2_5_7b,pavlick_nli,sum,198.0,-0.003850589219874148,0.012195983750299753,0.05025869556681226,0.05410928478668642,9.626390833994494,0.2842741935483871,True,does_not_improve
qwen2_5_7b,truthfulqa,mean,326.0,0.10883245938377184,0.04598161683717485,0.41423408489788116,0.3054016255141094,11.588393082951912,0.43818849449204406,True,improves
qwen2_5_7b,truthfulqa,sum,326.0,0.09582345796199528,0.04023854590256241,0.44558713539875255,0.3497636774367572,11.588393082951912,0.43818849449204406,True,improves
