dataset,seed,format,n_items,n_test,pca_components,r2,pearson,spearman
truthfulqa,0,letter11,817,326,49,0.13739316014122638,,
truthfulqa,0,digits101,817,326,49,0.2870668980590271,,
truthfulqa,1,letter11,817,326,49,0.14436062074133227,,
truthfulqa,1,digits101,817,326,49,0.33545492091946694,,
truthfulqa,2,letter11,817,326,49,0.13237393145484233,,
truthfulqa,2,digits101,817,326,49,0.33468105660352043,,
truthfulqa,paired_all_items,letter11_vs_digits101,817,817,,,0.18539371538808497,0.23735417826693303
pavlick_nli,0,letter11,496,198,29,0.23730386423665406,,
pavlick_nli,0,digits101,496,198,29,0.571744288159763,,
pavlick_nli,1,letter11,496,198,29,0.21709771110668896,,
pavlick_nli,1,digits101,496,198,29,0.5757142852308057,,
pavlick_nli,2,letter11,496,198,29,0.2456782901336393,,
pavlick_nli,2,digits101,496,198,29,0.3762910015480395,,
pavlick_nli,paired_all_items,letter11_vs_digits101,496,496,,,0.22834058782214472,0.23945733243337503
