model,dataset,signal,delta_aurc_mean,delta_aurc_sd,AURC_sq,AURC_signal
llama3_8b,pavlick_nli,V_pos_minus_V_neg,-0.07463889098519715,0.005891905514134161,0.17239823324920536,0.2470371242344025
llama3_8b,pavlick_nli,hidden_state_answer_probe,0.06108967979700477,0.003108811393920561,0.17239823324920536,0.1113085534522006
llama3_8b,pavlick_nli,logprob_margin,0.061165525519188635,0.0031553557581864298,0.17239823324920536,0.11123270773001674
llama3_8b,pavlick_nli,ntok,0.0558455831184222,0.002843992512464324,0.17239823324920536,0.11655265013078316
llama3_8b,pavlick_nli,verbalized_confidence,-0.1616883239232579,0.03780516942774554,0.17239823324920536,0.3340865571724632
llama3_8b,truthfulqa,V_pos_minus_V_neg,-0.038368634783034185,0.023067159702061312,0.48132582267350804,0.5196944574565423
llama3_8b,truthfulqa,hidden_state_answer_probe,0.02701032601696986,0.015512165104491552,0.48132582267350804,0.4543154966565382
llama3_8b,truthfulqa,logprob_margin,0.26120236962386795,0.02015627799632675,0.48132582267350804,0.22012345304964018
llama3_8b,truthfulqa,ntok,-0.10724574436086166,0.017284938651157065,0.48132582267350804,0.5885715670343697
llama3_8b,truthfulqa,verbalized_confidence,-0.08212211630773435,0.03312325736201614,0.48132582267350804,0.5634479389812425
mistral_7b,pavlick_nli,V_pos_minus_V_neg,-0.056749032227364125,0.02568204634259911,0.10144372347951809,0.1581927557068822
mistral_7b,pavlick_nli,hidden_state_answer_probe,0.07857376300403547,0.009638599696210271,0.10144372347951809,0.02286996047548263
mistral_7b,pavlick_nli,logprob_margin,0.0803325921349725,0.009503483403918989,0.10144372347951809,0.021111131344545595
mistral_7b,pavlick_nli,ntok,-0.11890549351864425,0.02472063322814253,0.10144372347951809,0.22034921699816237
mistral_7b,pavlick_nli,verbalized_confidence,-0.07346052376869111,0.03576409997651853,0.10144372347951809,0.17490424724820922
mistral_7b,truthfulqa,V_pos_minus_V_neg,-0.06412550646864856,0.003847352074668487,0.4016897318933023,0.4658152383619509
mistral_7b,truthfulqa,hidden_state_answer_probe,0.008607925923321066,0.025019217358277966,0.4016897318933023,0.3930818059699812
mistral_7b,truthfulqa,logprob_margin,0.2283012645419876,0.02327692769616589,0.4016897318933023,0.17338846735131472
mistral_7b,truthfulqa,ntok,-0.0967040067306867,0.020636651444697035,0.4016897318933023,0.498393738623989
mistral_7b,truthfulqa,verbalized_confidence,-0.0784037411097311,0.027169534132828632,0.4016897318933023,0.48009347300303346
qwen2_5_7b,pavlick_nli,V_pos_minus_V_neg,-0.0065462511564078575,0.01524743429329334,0.050714748518027736,0.0572609996744356
qwen2_5_7b,pavlick_nli,hidden_state_answer_probe,0.032561663204837735,0.012178270538237862,0.050714748518027736,0.018153085313190005
qwen2_5_7b,pavlick_nli,logprob_margin,0.03478599355550673,0.013324015875866126,0.050714748518027736,0.01592875496252101
qwen2_5_7b,pavlick_nli,ntok,-0.1612449735194133,0.005430749479159599,0.050714748518027736,0.21195972203744104
qwen2_5_7b,pavlick_nli,verbalized_confidence,-0.0137078131215964,0.012316576833110845,0.050714748518027736,0.06442256163962413
qwen2_5_7b,truthfulqa,V_pos_minus_V_neg,0.10883245938377184,0.04598161683717485,0.41423408489788116,0.3054016255141094
qwen2_5_7b,truthfulqa,hidden_state_answer_probe,0.06310236629047254,0.009943753672865891,0.41423408489788116,0.3511317186074086
qwen2_5_7b,truthfulqa,logprob_margin,0.24887053417528282,0.026608094287529697,0.41423408489788116,0.16536355072259837
qwen2_5_7b,truthfulqa,ntok,-0.08792938956962221,0.03577818074603802,0.41423408489788116,0.5021634744675034
qwen2_5_7b,truthfulqa,verbalized_confidence,0.048936406967991876,0.017839831969435685,0.41423408489788116,0.3652976779298893
