model,dataset,seed,signal,n_test,AURC_sq,AURC_signal,delta_aurc_over_sq
llama3_8b,pavlick_nli,0,verbalized_confidence,198,0.16783540850597495,0.28771427985693965,-0.1198788713509647
llama3_8b,pavlick_nli,0,V_pos_minus_V_neg,198,0.16783540850597495,0.2364537007337363,-0.06861829222776136
llama3_8b,pavlick_nli,0,logprob_margin,198,0.16783540850597495,0.11027675883471078,0.05755864967126417
llama3_8b,pavlick_nli,0,ntok,198,0.16783540850597495,0.111435068351394,0.05640034015458095
llama3_8b,pavlick_nli,0,hidden_state_answer_probe,198,0.16783540850597495,0.11027675883471078,0.05755864967126417
llama3_8b,pavlick_nli,1,verbalized_confidence,198,0.17566735721587878,0.3473880529349063,-0.17172069571902754
llama3_8b,pavlick_nli,1,V_pos_minus_V_neg,198,0.17566735721587878,0.2505726737599988,-0.07490531654412003
llama3_8b,pavlick_nli,1,logprob_margin,198,0.17566735721587878,0.11314460552062865,0.06252275169525014
llama3_8b,pavlick_nli,1,ntok,198,0.17566735721587878,0.12290227175037083,0.052765085465507955
llama3_8b,pavlick_nli,1,hidden_state_answer_probe,198,0.17566735721587878,0.11337214268718028,0.0622952145286985
llama3_8b,pavlick_nli,2,verbalized_confidence,198,0.17369193402576238,0.36715733872554385,-0.19346540469978146
llama3_8b,pavlick_nli,2,V_pos_minus_V_neg,198,0.17369193402576238,0.25408499820947245,-0.08039306418371006
llama3_8b,pavlick_nli,2,logprob_margin,198,0.17369193402576238,0.11027675883471078,0.06341517519105161
llama3_8b,pavlick_nli,2,ntok,198,0.17369193402576238,0.11532061029058469,0.0583713237351777
llama3_8b,pavlick_nli,2,hidden_state_answer_probe,198,0.17369193402576238,0.11027675883471078,0.06341517519105161
llama3_8b,truthfulqa,0,verbalized_confidence,326,0.4820651053049443,0.5471700911627019,-0.06510498585775759
llama3_8b,truthfulqa,0,V_pos_minus_V_neg,326,0.4820651053049443,0.5043109677210341,-0.022245862416089834
llama3_8b,truthfulqa,0,logprob_margin,326,0.4820651053049443,0.2032814328463535,0.2787836724585908
llama3_8b,truthfulqa,0,ntok,326,0.4820651053049443,0.5722054970044507,-0.09014039169950638
llama3_8b,truthfulqa,0,hidden_state_answer_probe,326,0.4820651053049443,0.4525684154260896,0.029496689878854676
llama3_8b,truthfulqa,1,verbalized_confidence,326,0.49554728966753836,0.5565137986733438,-0.06096650900580547
llama3_8b,truthfulqa,1,V_pos_minus_V_neg,326,0.49554728966753836,0.5236160466491451,-0.028068756981606713
llama3_8b,truthfulqa,1,logprob_margin,326,0.49554728966753836,0.22992766149614613,0.26561962817139223
llama3_8b,truthfulqa,1,ntok,326,0.49554728966753836,0.6024392920597689,-0.10689200239223051
llama3_8b,truthfulqa,1,hidden_state_answer_probe,326,0.49554728966753836,0.45441815475060815,0.04112913491693021
llama3_8b,truthfulqa,2,verbalized_confidence,326,0.4663650730480416,0.5866599271076816,-0.12029485405963997
llama3_8b,truthfulqa,2,V_pos_minus_V_neg,326,0.4663650730480416,0.5311563579994476,-0.06479128495140601
llama3_8b,truthfulqa,2,logprob_margin,326,0.4663650730480416,0.22716126480642088,0.2392038082416207
llama3_8b,truthfulqa,2,ntok,326,0.4663650730480416,0.5910699120388897,-0.12470483899084811
llama3_8b,truthfulqa,2,hidden_state_answer_probe,326,0.4663650730480416,0.4559599197929169,0.0104051532551247
mistral_7b,pavlick_nli,0,verbalized_confidence,198,0.09757334751149181,0.2123168176014567,-0.1147434700899649
mistral_7b,pavlick_nli,0,V_pos_minus_V_neg,198,0.09757334751149181,0.18368858084976994,-0.08611523333827813
mistral_7b,pavlick_nli,0,logprob_margin,198,0.09757334751149181,0.023616191486702187,0.07395715602478962
mistral_7b,pavlick_nli,0,ntok,198,0.09757334751149181,0.2449708363171994,-0.14739748880570758
mistral_7b,pavlick_nli,0,hidden_state_answer_probe,198,0.09757334751149181,0.024778594736049084,0.07279475277544273
mistral_7b,pavlick_nli,1,verbalized_confidence,198,0.1148715878179992,0.16676348989074036,-0.051891902072741164
mistral_7b,pavlick_nli,1,V_pos_minus_V_neg,198,0.1148715878179992,0.1533616030229816,-0.03849001520498241
mistral_7b,pavlick_nli,1,logprob_margin,198,0.1148715878179992,0.023616191486702187,0.091255396331297
mistral_7b,pavlick_nli,1,ntok,198,0.1148715878179992,0.21802630443294904,-0.10315471661494985
mistral_7b,pavlick_nli,1,hidden_state_answer_probe,198,0.1148715878179992,0.02517091205604851,0.08970067576195068
mistral_7b,pavlick_nli,2,verbalized_confidence,198,0.0918862351090633,0.14563243425243058,-0.053746199143367285
mistral_7b,pavlick_nli,2,V_pos_minus_V_neg,198,0.0918862351090633,0.13752808324789514,-0.04564184813883185
mistral_7b,pavlick_nli,2,logprob_margin,198,0.0918862351090633,0.016101011060232415,0.07578522404883088
mistral_7b,pavlick_nli,2,ntok,198,0.0918862351090633,0.19805051024433865,-0.10616427513527535
mistral_7b,pavlick_nli,2,hidden_state_answer_probe,198,0.0918862351090633,0.018660374634350295,0.073225860474713
mistral_7b,truthfulqa,0,verbalized_confidence,326,0.42101118958080697,0.4881942371643933,-0.06718304758358634
mistral_7b,truthfulqa,0,V_pos_minus_V_neg,326,0.42101118958080697,0.4808197151093449,-0.05980852552853794
mistral_7b,truthfulqa,0,logprob_margin,326,0.42101118958080697,0.17185169587697796,0.249159493703829
mistral_7b,truthfulqa,0,ntok,326,0.42101118958080697,0.5167134985407444,-0.09570230895993748
mistral_7b,truthfulqa,0,hidden_state_answer_probe,326,0.42101118958080697,0.38487844315309616,0.036132746427710805
mistral_7b,truthfulqa,1,verbalized_confidence,326,0.4090146258581203,0.46765637421346523,-0.058641748355344914
mistral_7b,truthfulqa,1,V_pos_minus_V_neg,326,0.4090146258581203,0.47439039669144234,-0.06537577083332202
mistral_7b,truthfulqa,1,logprob_margin,326,0.4090146258581203,0.17646201029998815,0.23255261555813217
mistral_7b,truthfulqa,1,ntok,326,0.4090146258581203,0.4856010713989122,-0.07658644554079186
