model,dataset,fold,margin_bin,n,n_excluded,sum_deviation_mean,sum_deviation_ci_low,sum_deviation_ci_high,sum_deviation_wilcoxon_p,preregistration_sha256,high_minus_low_deviation,high_minus_low_ci_low,high_minus_low_ci_high
llama3_8b,pavlick_nli,test_single_look,all,198,298,0.18363512405241378,0.1792032069028026,0.18811664472926745,3.0554164546300595e-34,e3923818392d2d740531b3daa68ad83883f5be24578d4b58a86c96c1bf328879,0.011869517417316483,-0.0009694962805322983,0.024303924692059064
llama3_8b,pavlick_nli,test_single_look,"low_[0,10)",22,474,0.17371029745448718,0.1630265795371749,0.1851254799149253,4.76837158203125e-07,e3923818392d2d740531b3daa68ad83883f5be24578d4b58a86c96c1bf328879,0.011869517417316483,-0.0009694962805322983,0.024303924692059064
llama3_8b,pavlick_nli,test_single_look,"mid_[10,25)",54,442,0.18328501118554008,0.1739927519802694,0.19275696371440534,1.6256984569330967e-10,e3923818392d2d740531b3daa68ad83883f5be24578d4b58a86c96c1bf328879,0.011869517417316483,-0.0009694962805322983,0.024303924692059064
llama3_8b,pavlick_nli,test_single_look,"high_[25,inf)",122,374,0.18557981487180367,0.17995704421010175,0.1909593455859872,9.239952282714923e-22,e3923818392d2d740531b3daa68ad83883f5be24578d4b58a86c96c1bf328879,0.011869517417316483,-0.0009694962805322983,0.024303924692059064
mistral_7b,pavlick_nli,test_single_look,all,198,298,0.014220991369449732,0.005051050052949877,0.023178691902395444,0.002002703361761267,e3923818392d2d740531b3daa68ad83883f5be24578d4b58a86c96c1bf328879,0.014480998703513166,-0.01567251708652774,0.04636183350323387
mistral_7b,pavlick_nli,test_single_look,"low_[0,10)",22,474,0.005163618109442971,-0.024351137639446692,0.03342614211142063,0.6101517677307129,e3923818392d2d740531b3daa68ad83883f5be24578d4b58a86c96c1bf328879,0.014480998703513166,-0.01567251708652774,0.04636183350323387
mistral_7b,pavlick_nli,test_single_look,"mid_[10,25)",54,442,0.005657656325234307,-0.009912716749089737,0.021406524904348228,0.4882326480721427,e3923818392d2d740531b3daa68ad83883f5be24578d4b58a86c96c1bf328879,0.014480998703513166,-0.01567251708652774,0.04636183350323387
mistral_7b,pavlick_nli,test_single_look,"high_[25,inf)",122,374,0.019644616812956137,0.007746867768344332,0.031491636210044874,0.001410632369779374,e3923818392d2d740531b3daa68ad83883f5be24578d4b58a86c96c1bf328879,0.014480998703513166,-0.01567251708652774,0.04636183350323387
qwen2_5_7b,pavlick_nli,test_single_look,all,198,298,0.8332052649271608,0.8146665733872037,0.850732458563465,3.0554164546300595e-34,e3923818392d2d740531b3daa68ad83883f5be24578d4b58a86c96c1bf328879,0.16053552763472723,0.0966504119658613,0.2304042042345475
qwen2_5_7b,pavlick_nli,test_single_look,"low_[0,10)",22,474,0.7097947787154805,0.6419300663877617,0.7701205615970221,4.76837158203125e-07,e3923818392d2d740531b3daa68ad83883f5be24578d4b58a86c96c1bf328879,0.16053552763472723,0.0966504119658613,0.2304042042345475
qwen2_5_7b,pavlick_nli,test_single_look,"mid_[10,25)",54,442,0.799608517576147,0.7625182186287862,0.833628812653047,1.6256984569330967e-10,e3923818392d2d740531b3daa68ad83883f5be24578d4b58a86c96c1bf328879,0.16053552763472723,0.0966504119658613,0.2304042042345475
qwen2_5_7b,pavlick_nli,test_single_look,"high_[25,inf)",122,374,0.8703303063502077,0.8513216407206214,0.888073699286238,9.239952282714923e-22,e3923818392d2d740531b3daa68ad83883f5be24578d4b58a86c96c1bf328879,0.16053552763472723,0.0966504119658613,0.2304042042345475
