method,aurc,coverage_at_acc_80,coverage_at_acc_90,n,model_key,dataset,seed
probe_pred_only,0.32181985485983766,0.4152462121212121,0.2684659090909091,2112,llama3_8b,ambigqa_kge2,0
logit_pred,0.32181985485983766,0.4152462121212121,0.2684659090909091,2112,llama3_8b,ambigqa_kge2,0
gap,0.3349939748955017,0.37926136363636365,0.21875,2112,llama3_8b,ambigqa_kge2,0
phillips_sum,0.4034632207866547,0.056818181818181816,0.02462121212121212,2112,llama3_8b,ambigqa_kge2,0
probe_amb_only,0.6498215865217571,0.0,0.0,2112,llama3_8b,ambigqa_kge2,0
logprob,0.6576456656757544,0.0,0.0,2112,llama3_8b,ambigqa_kge2,0
seq_entropy,0.6581962209014797,0.0,0.0,2112,llama3_8b,ambigqa_kge2,0
probe_pred_only,0.3197666886393621,0.4133522727272727,0.2821969696969697,2112,llama3_8b,ambigqa_kge2,1
logit_pred,0.3197666886393621,0.4133522727272727,0.2821969696969697,2112,llama3_8b,ambigqa_kge2,1
gap,0.3328553731368898,0.3816287878787879,0.2334280303030303,2112,llama3_8b,ambigqa_kge2,1
phillips_sum,0.4259107324927641,0.041666666666666664,0.020359848484848484,2112,llama3_8b,ambigqa_kge2,1
probe_amb_only,0.656444074132599,0.0,0.0,2112,llama3_8b,ambigqa_kge2,1
logprob,0.6681288038674873,0.0,0.0,2112,llama3_8b,ambigqa_kge2,1
seq_entropy,0.6688064988762039,0.0,0.0,2112,llama3_8b,ambigqa_kge2,1
probe_pred_only,0.3237856380882069,0.4133522727272727,0.2608901515151515,2112,llama3_8b,ambigqa_kge2,2
logit_pred,0.3237856380882069,0.4133522727272727,0.2608901515151515,2112,llama3_8b,ambigqa_kge2,2
gap,0.33579654498639294,0.3816287878787879,0.21827651515151514,2112,llama3_8b,ambigqa_kge2,2
phillips_sum,0.39779101809769624,0.047821969696969696,0.024147727272727272,2112,llama3_8b,ambigqa_kge2,2
probe_amb_only,0.6387187132034324,0.0,0.0,2112,llama3_8b,ambigqa_kge2,2
seq_entropy,0.6724213688295464,0.0,0.0,2112,llama3_8b,ambigqa_kge2,2
logprob,0.6733779159453159,0.0,0.0,2112,llama3_8b,ambigqa_kge2,2
probe_pred_only,0.490545376602574,0.034261241970021415,0.0036402569593147753,4670,llama3_8b,chaosnli,0
logit_pred,0.490545376602574,0.034261241970021415,0.0036402569593147753,4670,llama3_8b,chaosnli,0
phillips_sum,0.5416225296931201,0.01284796573875803,0.00021413276231263382,4670,llama3_8b,chaosnli,0
gap,0.5610582035143927,0.003854389721627409,0.00021413276231263382,4670,llama3_8b,chaosnli,0
logprob,0.6251914549782426,0.00021413276231263382,0.00021413276231263382,4670,llama3_8b,chaosnli,0
probe_amb_only,0.6651789738416592,0.00021413276231263382,0.00021413276231263382,4670,llama3_8b,chaosnli,0
probe_pred_only,0.49836593711295146,0.03854389721627409,0.0,4670,llama3_8b,chaosnli,1
logit_pred,0.49836593711295146,0.03854389721627409,0.0,4670,llama3_8b,chaosnli,1
phillips_sum,0.5444954439562543,0.022055674518201285,0.00021413276231263382,4670,llama3_8b,chaosnli,1
gap,0.5866277275522255,0.0006423982869379015,0.0006423982869379015,4670,llama3_8b,chaosnli,1
logprob,0.6194483368199272,0.00021413276231263382,0.00021413276231263382,4670,llama3_8b,chaosnli,1
probe_amb_only,0.6560387978661533,0.0,0.0,4670,llama3_8b,chaosnli,1
probe_pred_only,0.4890593759281541,0.006852248394004282,0.004282655246252677,4670,llama3_8b,chaosnli,2
logit_pred,0.4890593759281541,0.006852248394004282,0.004282655246252677,4670,llama3_8b,chaosnli,2
phillips_sum,0.5473701543706055,0.006852248394004282,0.00021413276231263382,4670,llama3_8b,chaosnli,2
gap,0.5762398587116759,0.0010706638115631692,0.0006423982869379015,4670,llama3_8b,chaosnli,2
logprob,0.624124944157656,0.0,0.0,4670,llama3_8b,chaosnli,2
probe_amb_only,0.6556828364835225,0.0,0.0,4670,llama3_8b,chaosnli,2
probe_pred_only,0.300731619346413,0.4165,0.37016666666666664,12000,llama3_8b,halueval_qa,0
logit_pred,0.300731619346413,0.4165,0.37016666666666664,12000,llama3_8b,halueval_qa,0
gap,0.30110377993264303,0.4165,0.36975,12000,llama3_8b,halueval_qa,0
phillips_sum,0.30120235658281574,0.4165,0.37025,12000,llama3_8b,halueval_qa,0
probe_amb_only,0.6491993987672479,0.01925,0.0045,12000,llama3_8b,halueval_qa,0
logprob,0.6670761395804763,0.0,0.0,12000,llama3_8b,halueval_qa,0
seq_entropy,0.6686134784440736,0.0,0.0,12000,llama3_8b,halueval_qa,0
probe_pred_only,0.3007101566602768,0.4165,0.37016666666666664,12000,llama3_8b,halueval_qa,1
