model_key,dataset_key,model,dataset,fpred_aurc,gap_aurc,gap_penalty,bdd_median,regime,fpred_auroc,fdefer_auroc,fdefer_acc
llama3_8b,chaosnli,LLaMA,ChaosNLI,0.4926568965478932,0.5746419299260981,0.0819850333782049,0.47019875049591064,wide,0.7318634921833516,0.7467580978001207,0.6420413990007138
llama3_8b,pavlick_nli,LLaMA,Pavlick-NLI,0.3657104853703026,0.433371270125168,0.06766078475486542,0.44306421279907227,wide,0.9070900537634409,0.82004360179357,0.728494623655914
llama3_8b,pubmedqa,LLaMA,PubMedQA,0.3461934431123282,0.3583568678384908,0.012163424726162608,0.10947710275650024,borderline,0.929072,0.9586894047472979,0.886
llama3_8b,medqa,LLaMA,MedQA,0.34377156415276344,0.5036803228875529,0.1599087587347895,0.01316806674003601,tight,0.9346097060583872,0.9896632054008888,0.9427086744830899
llama3_8b,popqa,LLaMA,PopQA,0.3845456024969316,0.5646131273872622,0.18006752489033062,0.027922391891479492,tight,0.8755241880824007,0.9655339755411735,0.8715886499186697
llama3_8b,truthfulqa,LLaMA,TruthfulQA,0.3232689131739521,0.44472418299719174,0.12145526982323962,0.058928437530994415,borderline,0.9639406698927337,0.9996947606646658,0.990483958673192
mistral_7b,chaosnli,Mistral,ChaosNLI,0.46284197247437686,0.5296692701678354,0.06682729769345852,0.3971100449562073,wide,0.7723898777943999,0.7479684946329151,0.6518201284796574
mistral_7b,pavlick_nli,Mistral,Pavlick-NLI,0.3540872337241649,0.3802097490164202,0.02612251529225529,0.35697391629219055,wide,0.924105207249393,0.8391029634427634,0.7576164874551972
mistral_7b,pubmedqa,Mistral,PubMedQA,0.3327747052309978,0.35494153167200326,0.022166826441005483,0.13113340735435486,borderline,0.9499333333333334,0.9777302854029298,0.9135555555555556
mistral_7b,medqa,Mistral,MedQA,0.4335126444237009,0.5899963656291934,0.15648372120549253,0.050704240798950195,borderline,0.8091529560744792,0.9802993937247546,0.9229929477522325
mistral_7b,popqa,Mistral,PopQA,0.38802739155440163,0.5705468223768455,0.18251943082244387,0.0382806658744812,tight,0.8691778871268999,0.9604269230988017,0.8593589975299717
mistral_7b,truthfulqa,Mistral,TruthfulQA,0.31999361280816097,0.4361296876881788,0.11613607488001781,0.062665194272995,borderline,0.9694620927140162,0.9988443056084176,0.9812398042414356
qwen2_5_7b,chaosnli,Qwen,ChaosNLI,0.37052356167949524,0.4513146646445844,0.08079110296508918,0.812120795249939,wide,0.8993313170788202,0.8485149985031152,0.7828693790149893
qwen2_5_7b,pavlick_nli,Qwen,Pavlick-NLI,0.33123599639159446,0.42180789545620506,0.0905718990646106,0.15461157262325287,borderline,0.9552603624696497,0.9232713338850252,0.8454301075268819
qwen2_5_7b,pubmedqa,Qwen,PubMedQA,0.33278360822860564,0.3600455106225779,0.027261902393972248,0.08017311990261078,borderline,0.9526266666666666,0.9679368665452671,0.8942222222222221
qwen2_5_7b,medqa,Qwen,MedQA,0.3967044577275572,0.590923950069593,0.19421949234203578,0.0003342628479003906,tight,0.8579531699346318,0.9936110160830302,0.9502849282766751
qwen2_5_7b,popqa,Qwen,PopQA,0.41236504954334124,0.5889440829649009,0.17657903342155962,0.002297133207321167,tight,0.8338326886899184,0.9729228753455116,0.9002951985059341
qwen2_5_7b,truthfulqa,Qwen,TruthfulQA,0.30047361264475,0.4084598285369494,0.10798621589219942,0.007556043099611998,tight,0.999505216672203,1.0,1.0
