model,dataset,cos_w_pred_w_defer,rho_ST,rho_f_pred_f_defer,n_eval_rows_after_seed_union,y_correct_rate,y_expert_rate
llama3_8b,chaosnli,0.002709805965423584,0.0010686092361043053,0.06741899397767728,5855,0.4683176771989752,0.31238257899231425
mistral_7b,chaosnli,0.08728766441345215,0.0010686092361043053,0.024999150628556465,5855,0.4683176771989752,0.31238257899231425
qwen2_5_7b,chaosnli,0.008693695068359375,0.0010686092361043053,0.024197093546387768,5855,0.4683176771989752,0.31238257899231425
llama3_8b,pavlick_nli,0.042504310607910156,0.007684208429891816,0.016090264385349363,935,0.46951871657754013,0.5882352941176471
mistral_7b,pavlick_nli,0.056888699531555176,0.007684208429891816,0.012062149263660752,935,0.46951871657754013,0.5882352941176471
qwen2_5_7b,pavlick_nli,0.0006049275398254395,0.007684208429891816,0.007837043969367699,935,0.46951871657754013,0.5882352941176471
llama3_8b,pubmedqa,0.07580316066741943,0.008307155170461284,0.30168462394251905,1868,0.46466809421841543,0.1076017130620985
mistral_7b,pubmedqa,0.05402195453643799,0.008307155170461284,0.20495175735682572,1868,0.46466809421841543,0.1076017130620985
qwen2_5_7b,pubmedqa,0.06616842746734619,0.008307155170461284,0.2211712030788049,1868,0.46466809421841543,0.1076017130620985
llama3_8b,medqa,0.03389996290206909,4.113969449327489e-06,0.008287192168711596,19115,0.4675385822652367,0.5011770860580695
mistral_7b,medqa,0.01660442352294922,4.113969449327489e-06,0.03322001062005914,19115,0.4675385822652367,0.5011770860580695
qwen2_5_7b,medqa,0.007267355918884277,4.113969449327489e-06,0.0053481519212286305,19115,0.4675385822652367,0.5011770860580695
llama3_8b,popqa,0.03589743375778198,7.438018334704911e-05,0.08907781962157231,13837,0.46686420466864204,0.8884151188841511
mistral_7b,popqa,0.07167583703994751,7.438018334704911e-05,0.08860935563198388,13837,0.46686420466864204,0.8884151188841511
qwen2_5_7b,popqa,0.024012506008148193,7.438018334704911e-05,0.1349166861036129,13837,0.46686420466864204,0.8884151188841511
llama3_8b,truthfulqa,0.05409407615661621,0.003204400367745017,0.031066094567555373,1526,0.4646133682830931,0.2889908256880734
mistral_7b,truthfulqa,0.05314671993255615,0.003204400367745017,0.06093410577250258,1526,0.4646133682830931,0.2889908256880734
qwen2_5_7b,truthfulqa,0.03292393684387207,0.003204400367745017,0.010061069768129708,1526,0.4646133682830931,0.2889908256880734
llama3_8b,ambigqa_kge2,0.000944972038269043,,0.07037454443209398,2646,0.46787603930461075,0.0
mistral_7b,ambigqa_kge2,0.006017804145812988,,0.0909885448064425,2646,0.46787603930461075,0.0
qwen2_5_7b,ambigqa_kge2,0.016884684562683105,,0.040539303670745895,2646,0.46787603930461075,0.0
llama3_8b,halueval_qa,0.03649723529815674,,0.20974680043583177,14989,0.4662752685302555,1.0
mistral_7b,halueval_qa,0.03194248676300049,,0.17544566614533563,14989,0.4662752685302555,1.0
qwen2_5_7b,halueval_qa,0.022237300872802734,,0.031676135592069686,14989,0.4662752685302555,1.0
llama3_8b,triviaqa,0.0032889842987060547,,0.06780496717637333,14989,0.4662752685302555,1.0
mistral_7b,triviaqa,0.012831330299377441,,0.11161473729100012,14989,0.4662752685302555,1.0
qwen2_5_7b,triviaqa,0.028737187385559082,,0.012726194783199214,14989,0.4662752685302555,1.0
