model,dataset,n_items,defer_width_median,defer_width_mean,aurc_p_pred,aurc_gap,aurc_robust_gap
llama3_8b,chaosnli,3113,0.47019875049591064,0.45824775099754333,0.32315491036173205,0.4114964386214137,0.4034965898157673
llama3_8b,pavlick_nli,496,0.44306421279907227,0.41111791133880615,0.20642309945486684,0.2682222647389725,0.26897797873463813
llama3_8b,pubmedqa,1000,0.10947710275650024,0.2625410258769989,0.2502117173778785,0.251597437017932,0.23664551243108312
llama3_8b,medqa,10178,0.01316806674003601,0.21140266954898834,0.2298306085209682,0.3473202065269775,0.31746351180478627
llama3_8b,popqa,7377,0.027922391891479492,0.29625648260116577,0.34258201288965034,0.4204859796496353,0.4070930445330351
llama3_8b,truthfulqa,817,0.058928437530994415,0.18677671253681183,0.21777405350170892,0.2805437787068268,0.28471506103159455
mistral_7b,chaosnli,3113,0.3971100449562073,0.3806305527687073,0.2913937180715847,0.3844811212678251,0.39097070117561783
mistral_7b,pavlick_nli,496,0.35697391629219055,0.35499107837677,0.20441213174182224,0.262606551867418,0.2673097407372602
mistral_7b,pubmedqa,1000,0.13113340735435486,0.27560099959373474,0.24925368268710987,0.24967714630232374,0.24147241691073745
mistral_7b,medqa,10178,0.050704240798950195,0.3112207353115082,0.3606546118534981,0.44150878181574016,0.4055313818443085
mistral_7b,popqa,7377,0.0382806658744812,0.29131799936294556,0.33418343366017417,0.4288226159156372,0.4130467178457504
mistral_7b,truthfulqa,817,0.062665194272995,0.1909743696451187,0.20108993242442988,0.2747454145559731,0.28161704390645237
qwen2_5_7b,chaosnli,3113,0.812120795249939,0.606803297996521,0.26944529892350955,0.35288875628889627,0.2994449554990317
qwen2_5_7b,pavlick_nli,496,0.15461157262325287,0.3322562277317047,0.22443228054778794,0.3061874524266577,0.29221695305497686
qwen2_5_7b,pubmedqa,1000,0.08017311990261078,0.27661314606666565,0.2679438890539664,0.2743427252847593,0.2570093769162526
qwen2_5_7b,medqa,10178,0.0003342628479003906,0.20812737941741943,0.31258647188730815,0.40546624342497156,0.37483876756245127
qwen2_5_7b,popqa,7377,0.002297133207321167,0.3435102701187134,0.38568728719192796,0.44133323839222277,0.44787880621233234
qwen2_5_7b,truthfulqa,817,0.007556043099611998,0.19725820422172546,0.23304642654884017,0.2763659489107221,0.27427139328575606
