model,dataset,n,y_defer_rate,model_error_rate,observed_stc,shuffle_mean,shuffle_p95,shuffle_p99,shuffle_max,aligned_exact_stc,aligned_marginal_stc,shuffle_pass_lt_0p10,aligned_pass_gt_0p10,status
llama3_8b,chaosnli,5855,0.31238257899231425,0.5316823228010248,0.0010686092361042471,0.010384753890394404,0.025517964747140843,0.033578081090061135,0.043980863346616716,1.0,0.6325780706979042,True,True,ok
llama3_8b,pavlick_nli,935,0.5882352941176471,0.5304812834224599,0.007684208429891824,0.02602641395204366,0.06429121053009505,0.09477190396866603,0.12294733487826945,1.0,0.8893190556194824,True,True,ok
llama3_8b,pubmedqa,1868,0.1076017130620985,0.5353319057815846,0.00830715517046124,0.017661850025020492,0.0436496501590754,0.05410324071773283,0.07758289560984347,1.0,0.3235117741696499,True,True,ok
llama3_8b,medqa,19115,0.5011770860580695,0.5324614177347633,4.113969449285871e-06,0.0055923443373696495,0.014054197285621196,0.01803854927080425,0.02307141493629872,1.0,0.9392626687923508,True,True,ok
llama3_8b,popqa,13837,0.8884151188841511,0.5331357953313579,7.438018334700375e-05,0.006925336445620408,0.016652820314701864,0.022931099306158394,0.03259128829454362,1.0,0.37872008662424855,True,True,ok
llama3_8b,truthfulqa,1526,0.2889908256880734,0.5353866317169069,0.003204400367745002,0.020096084444036346,0.04958177996398822,0.06407471108781422,0.08436481466117066,0.9999999999999999,0.5939043619338865,True,True,ok
llama3_8b,ambigqa_kge2,2646,0.0,0.5321239606953893,,,,,,1.0,,False,False,ok
llama3_8b,halueval_qa,14989,1.0,0.5337247314697445,,,,,,0.9999999999999999,,False,False,ok
llama3_8b,triviaqa,14989,1.0,0.5337247314697445,,,,,,0.9999999999999999,,False,False,ok
mistral_7b,chaosnli,5855,0.31238257899231425,0.5316823228010248,0.0010686092361042471,0.01061943407591339,0.026178151331391224,0.03430261000875786,0.0417653155146796,1.0,0.6325780706979042,True,True,ok
mistral_7b,pavlick_nli,935,0.5882352941176471,0.5304812834224599,0.007684208429891824,0.02701076105191281,0.06634033277806621,0.08811225666275975,0.12294733487826948,1.0,0.8893190556194824,True,True,ok
mistral_7b,pubmedqa,1868,0.1076017130620985,0.5353319057815846,0.00830715517046124,0.017880239200769657,0.04640881241212146,0.05680721972571805,0.0706553215659052,1.0,0.3235117741696499,True,True,ok
mistral_7b,medqa,19115,0.5011770860580695,0.5324614177347633,4.113969449285871e-06,0.005810192568382751,0.0136265638745981,0.017822715623204064,0.025587847769045918,1.0,0.9392626687923508,True,True,ok
mistral_7b,popqa,13837,0.8884151188841511,0.5331357953313579,7.438018334700375e-05,0.006743497545568494,0.017097334178867427,0.02215821239375198,0.025378771257769387,1.0,0.37872008662424855,True,True,ok
mistral_7b,truthfulqa,1526,0.2889908256880734,0.5353866317169069,0.003204400367745002,0.01958441749402986,0.046797541636163204,0.0634691990847142,0.1075535044592922,0.9999999999999999,0.5939043619338865,True,True,ok
mistral_7b,ambigqa_kge2,2646,0.0,0.5321239606953893,,,,,,1.0,,False,False,ok
mistral_7b,halueval_qa,14989,1.0,0.5337247314697445,,,,,,0.9999999999999999,,False,False,ok
mistral_7b,triviaqa,14989,1.0,0.5337247314697445,,,,,,0.9999999999999999,,False,False,ok
qwen2_5_7b,chaosnli,5855,0.31238257899231425,0.5316823228010248,0.0010686092361042471,0.01059389933531304,0.02543963538741223,0.03290312418693118,0.057274150338239266,1.0,0.6325780706979042,True,True,ok
qwen2_5_7b,pavlick_nli,935,0.5882352941176471,0.5304812834224599,0.007684208429891824,0.025261066792426432,0.059936825753156356,0.079426539734172,0.09682102621663718,1.0,0.8893190556194824,True,True,ok
qwen2_5_7b,pubmedqa,1868,0.1076017130620985,0.5353319057815846,0.00830715517046124,0.018571238751792583,0.04364965015907539,0.057504798246951816,0.07135994633482828,1.0,0.3235117741696499,True,True,ok
qwen2_5_7b,medqa,19115,0.5011770860580695,0.5324614177347633,4.113969449285871e-06,0.005630267620841325,0.013626975271543003,0.017830943562102654,0.02935426907926816,1.0,0.9392626687923508,True,True,ok
qwen2_5_7b,popqa,13837,0.8884151188841511,0.5331357953313579,7.438018334700375e-05,0.0065511703746652505,0.01617717450343395,0.023082972867562702,0.02799048991737595,1.0,0.37872008662424855,True,True,ok
qwen2_5_7b,truthfulqa,1526,0.2889908256880734,0.5353866317169069,0.003204400367745002,0.021306151119006217,0.05248036618875342,0.07218782733839782,0.0924489450495066,0.9999999999999999,0.5939043619338865,True,True,ok
qwen2_5_7b,ambigqa_kge2,2646,0.0,0.5321239606953893,,,,,,1.0,,False,False,ok
qwen2_5_7b,halueval_qa,14989,1.0,0.5337247314697445,,,,,,0.9999999999999999,,False,False,ok
qwen2_5_7b,triviaqa,14989,1.0,0.5337247314697445,,,,,,0.9999999999999999,,False,False,ok
