model,dataset,model_key,dataset_key,alpha,stc_mean,stc_p05,stc_p50,stc_p95,observed_stc,n,y_defer_rate,error_rate
LLaMA,ChaosNLI,llama3_8b,chaosnli,0.0,0.010151237293190224,0.0010686092361042428,0.008532098035623149,0.026619583312457624,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
LLaMA,ChaosNLI,llama3_8b,chaosnli,0.05,0.056833994835627705,0.0343801560748893,0.056535634394260244,0.07762026459486147,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
LLaMA,ChaosNLI,llama3_8b,chaosnli,0.1,0.11908793484928396,0.09748634348789732,0.11857097368849856,0.14072645200786948,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
LLaMA,ChaosNLI,llama3_8b,chaosnli,0.15000000000000002,0.18897517565990754,0.16764535816590517,0.1887299883665065,0.20719288696598231,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
LLaMA,ChaosNLI,llama3_8b,chaosnli,0.2,0.26981313088785225,0.25076532766074505,0.2699667422041999,0.2903128564608223,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
LLaMA,ChaosNLI,llama3_8b,chaosnli,0.25,0.35843799822911226,0.33676550933710353,0.358588655481684,0.3770515540811598,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
LLaMA,ChaosNLI,llama3_8b,chaosnli,0.30000000000000004,0.4608494812125723,0.440896257438147,0.4605038557507903,0.47904060594466386,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
LLaMA,ChaosNLI,llama3_8b,chaosnli,0.35000000000000003,0.5802497849713256,0.5661116357397911,0.5801434386753925,0.5960584572681407,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
LLaMA,ChaosNLI,llama3_8b,chaosnli,0.4,0.6325780706979041,0.632578070697904,0.6325780706979041,0.6325780706979043,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
LLaMA,ChaosNLI,llama3_8b,chaosnli,0.45,0.6325780706979041,0.632578070697904,0.6325780706979041,0.6325780706979043,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
LLaMA,ChaosNLI,llama3_8b,chaosnli,0.5,0.6325780706979041,0.632578070697904,0.6325780706979041,0.6325780706979043,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
LLaMA,ChaosNLI,llama3_8b,chaosnli,0.55,0.6325780706979041,0.632578070697904,0.6325780706979041,0.6325780706979043,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
LLaMA,ChaosNLI,llama3_8b,chaosnli,0.6000000000000001,0.6325780706979041,0.632578070697904,0.6325780706979041,0.6325780706979043,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
LLaMA,ChaosNLI,llama3_8b,chaosnli,0.65,0.632578070697904,0.632578070697904,0.6325780706979041,0.6325780706979043,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
LLaMA,ChaosNLI,llama3_8b,chaosnli,0.7000000000000001,0.632578070697904,0.6325780706979038,0.6325780706979041,0.6325780706979043,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
LLaMA,ChaosNLI,llama3_8b,chaosnli,0.75,0.6325780706979041,0.632578070697904,0.6325780706979041,0.6325780706979043,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
LLaMA,ChaosNLI,llama3_8b,chaosnli,0.8,0.6325780706979041,0.632578070697904,0.6325780706979041,0.6325780706979043,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
LLaMA,ChaosNLI,llama3_8b,chaosnli,0.8500000000000001,0.6325780706979041,0.632578070697904,0.6325780706979041,0.6325780706979043,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
LLaMA,ChaosNLI,llama3_8b,chaosnli,0.9,0.6325780706979041,0.632578070697904,0.6325780706979041,0.6325780706979043,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
LLaMA,ChaosNLI,llama3_8b,chaosnli,0.9500000000000001,0.6325780706979041,0.632578070697904,0.6325780706979041,0.6325780706979043,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
LLaMA,ChaosNLI,llama3_8b,chaosnli,1.0,0.6325780706979042,0.6325780706979042,0.6325780706979042,0.6325780706979042,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
LLaMA,Pavlick-NLI,llama3_8b,pavlick_nli,0.0,0.027066855773451016,0.0033298236529531212,0.02279648500867914,0.06634033277806622,0.007684208429891824,935,0.5882352941176471,0.5304812834224599
LLaMA,Pavlick-NLI,llama3_8b,pavlick_nli,0.05,0.054643942986646855,0.0076842084298918345,0.0532771784472501,0.10552979577051459,0.007684208429891824,935,0.5882352941176471,0.5304812834224599
LLaMA,Pavlick-NLI,llama3_8b,pavlick_nli,0.1,0.1130890077432802,0.05959103637381124,0.114238565324392,0.1621367978707178,0.007684208429891824,935,0.5882352941176471,0.5304812834224599
LLaMA,Pavlick-NLI,llama3_8b,pavlick_nli,0.15000000000000002,0.1812960908892481,0.12730171965520815,0.17955433697847262,0.23616133907867587,0.007684208429891824,935,0.5882352941176471,0.5304812834224599
LLaMA,Pavlick-NLI,llama3_8b,pavlick_nli,0.2,0.2531956923260601,0.19697187608622746,0.25357887818643066,0.30583149550969524,0.007684208429891824,935,0.5882352941176471,0.5304812834224599
LLaMA,Pavlick-NLI,llama3_8b,pavlick_nli,0.25,0.3390293250490759,0.292768341178879,0.3406665737252048,0.38225094834496937,0.007684208429891824,935,0.5882352941176471,0.5304812834224599
