signal,requested_k,effective_k,alpha,n_test,coverage,coverage_wilson95,mean_set_size,empty_rate,singleton_rate,full_set_rate,worst_observed_cell_coverage,full_set_fallback_cells,min_calibration_cell_count
q,1,1,0.1,250,0.916,"[0.8750051335864347, 0.9444039612333553]",1.536,0.0,0.464,0.536,0.916,0,250
q,2,2,0.1,250,0.904,"[0.8611341747864028, 0.934638119221278]",1.508,0.0,0.492,0.508,0.8943089430894309,0,105
q,4,4,0.1,250,0.912,"[0.8703615171695354, 0.9411686440462184]",1.552,0.0,0.448,0.552,0.8392857142857143,0,43
q,8,8,0.1,250,0.908,"[0.8657382427250239, 0.9379129848866933]",1.556,0.0,0.444,0.556,0.8064516129032258,0,19
q,16,16,0.1,250,0.932,"[0.8938107478142963, 0.9571140814216397]",1.664,0.0,0.336,0.664,0.5,1,6
qa,1,1,0.1,250,0.916,"[0.8750051335864347, 0.9444039612333553]",1.536,0.0,0.464,0.536,0.916,0,250
qa,2,2,0.1,250,0.892,"[0.8474274415961268, 0.9247080515994447]",1.504,0.0,0.496,0.504,0.8767123287671232,0,90
qa,4,4,0.1,250,0.924,"[0.8843586026895993, 0.9508083593382637]",1.544,0.0,0.456,0.544,0.8771929824561403,0,41
qa,8,8,0.1,250,0.916,"[0.8750051335864347, 0.9444039612333553]",1.588,0.0,0.412,0.588,0.8461538461538461,0,19
qa,16,16,0.1,250,0.928,"[0.8890714648901645, 0.953974430741735]",1.704,0.008,0.28,0.712,0.6666666666666666,3,4
