signal,requested_k,effective_k,alpha,n_test,coverage,coverage_wilson95,mean_set_size,empty_rate,singleton_rate,full_set_rate,worst_observed_cell_coverage,full_set_fallback_cells,min_calibration_cell_count
q,1,1,0.1,399,0.9348370927318296,"[0.9062346469700029, 0.9551464060522747]",1.2380952380952381,0.0,0.7619047619047619,0.23809523809523808,0.9348370927318296,0,397
q,2,2,0.1,399,0.9197994987468672,"[0.8889733207223296, 0.9426193385354888]",1.213032581453634,0.015037593984962405,0.7568922305764411,0.22807017543859648,0.9014084507042254,0,193
q,4,4,0.1,399,0.9323308270676691,"[0.9033361417889283, 0.9530801789392727]",1.2531328320802004,0.012531328320802004,0.7218045112781954,0.2656641604010025,0.8679245283018868,0,84
q,8,8,0.1,399,0.9273182957393483,"[0.8975662811950963, 0.9489205749449517]",1.25062656641604,0.020050125313283207,0.7092731829573935,0.2706766917293233,0.84,0,27
q,16,16,0.1,399,0.9348370927318296,"[0.9062346469700029, 0.9551464060522747]",1.3358395989974938,0.02506265664160401,0.6140350877192983,0.3609022556390977,0.7586206896551724,0,11
qa,1,1,0.1,399,0.9348370927318296,"[0.9062346469700029, 0.9551464060522747]",1.2380952380952381,0.0,0.7619047619047619,0.23809523809523808,0.9348370927318296,0,397
qa,2,2,0.1,399,0.924812030075188,"[0.894694087196402, 0.9468280366495696]",1.255639097744361,0.03258145363408521,0.6791979949874687,0.2882205513784461,0.9119170984455959,0,180
qa,4,4,0.1,399,0.9223057644110275,"[0.8918298807466944, 0.9447275108052005]",1.2932330827067668,0.02506265664160401,0.656641604010025,0.3182957393483709,0.9081632653061225,0,87
qa,8,8,0.1,399,0.9097744360902256,"[0.8776175602500007, 0.9341161698315117]",1.2606516290726817,0.03508771929824561,0.6691729323308271,0.2957393483709273,0.8571428571428571,0,32
qa,16,16,0.1,399,0.9473684210526315,"[0.9208835835583485, 0.9653211309343116]",1.3984962406015038,0.007518796992481203,0.5864661654135338,0.40601503759398494,0.8611111111111112,0,13
