model,token_mode,seed,n_test,H_Y,L_q,AURC_q,L_a,AURC_a,L_both,AURC_both,aurc_gap,L_q_raw,L_both_raw,n_order_violations,I_answer_given_q,I_question,I_total,answer_share
llama3_8b,first,0,326.0,0.684824922534093,0.6869790694195843,0.4820651053049443,0.7219338545194581,0.4525684154260896,0.6688658253677033,0.4496191600166324,0.029496689878854676,0.6869790694195843,0.6688658253677033,1.0,0.015959097166389657,0.0,0.015959097166389657,
llama3_8b,first,1,326.0,0.6749515634535586,0.6580921242376643,0.49554728966753836,0.608123653579296,0.45441815475060815,0.6066726167802685,0.4579416412710491,0.04112913491693021,0.6580921242376643,0.6066726167802685,0.0,0.05141950745739576,0.01685943921589428,0.06827894667329004,0.7530799750534303
llama3_8b,first,2,326.0,0.6761132080165966,0.6379647252322677,0.4663650730480416,0.6027055549428723,0.4559599197929169,0.6021748731048214,0.46094949148976344,0.0104051532551247,0.6379647252322677,0.6021748731048214,0.0,0.03578985212744623,0.03814848278432892,0.07393833491177515,0.48405001505851425
llama3_8b,mean,0,326.0,0.684824922534093,0.6869790694195843,0.4820651053049443,0.5303879055483874,0.329804524593341,0.5546143028112942,0.3595356224939377,0.1522605807116033,0.6869790694195843,0.5546143028112942,1.0,0.1302106197227988,0.0,0.1302106197227988,1.0
llama3_8b,mean,1,326.0,0.6749515634535586,0.6580921242376643,0.49554728966753836,0.49005998105664983,0.34862273713392833,0.49448527480553206,0.3537577206510573,0.14692455253361003,0.6580921242376643,0.49448527480553206,0.0,0.16360684943213222,0.01685943921589428,0.1804662886480265,0.9065784566070609
llama3_8b,mean,2,326.0,0.6761132080165966,0.6379647252322677,0.4663650730480416,0.46818262748587797,0.32805688754223317,0.4861217509330492,0.3404336295177071,0.13830818550580842,0.6379647252322677,0.4861217509330492,0.0,0.15184297429921845,0.03814848278432892,0.18999145708354737,0.7992094835740251
mistral_7b,first,0,326.0,0.6919422854021737,0.6592397854597394,0.42101118958080697,0.6193175361612037,0.38487844315309616,0.6193822523223127,0.3896803325815505,0.036132746427710805,0.6592397854597394,0.6193822523223127,0.0,0.03985753313742668,0.03270249994243435,0.07256003307986103,0.5493042305198329
mistral_7b,first,1,326.0,0.691264105841682,0.6509343974578042,0.4090146258581203,0.6290622184965813,0.42176841471909454,0.615537974935355,0.41717899691357274,-0.012753788860974224,0.6509343974578042,0.615537974935355,0.0,0.035396422522449233,0.04032970838387773,0.07572613090632696,0.46742679308724383
mistral_7b,first,2,326.0,0.6919422854021737,0.6177104584053026,0.3750433802409796,0.5840558993557807,0.372598560037753,0.597946250346439,0.3846334740557019,0.0024448202032266164,0.6177104584053026,0.597946250346439,0.0,0.019764208058863586,0.07423182699687114,0.09399603505573473,0.21026640163220126
mistral_7b,mean,0,326.0,0.6919422854021737,0.6592397854597394,0.42101118958080697,0.5486465473495105,0.3092481561090169,0.5754283026661527,0.331924868827237,0.11176303347179006,0.6592397854597394,0.5754283026661527,0.0,0.08381148279358663,0.03270249994243435,0.11651398273602098,0.7193255335153506
mistral_7b,mean,1,326.0,0.691264105841682,0.6509343974578042,0.4090146258581203,0.5455082336143253,0.3083978728067092,0.5546671949791566,0.3220280021051675,0.1006167530514111,0.6509343974578042,0.5546671949791566,0.0,0.09626720247864762,0.04032970838387773,0.13659691086252534,0.7047538767222445
mistral_7b,mean,2,326.0,0.6919422854021737,0.6177104584053026,0.3750433802409796,0.5095028013272475,0.2761751653647221,0.519358105843342,0.284523431216568,0.09886821487625752,0.6177104584053026,0.519358105843342,0.0,0.09835235256196062,0.07423182699687114,0.17258417955883176,0.5698804653669518
qwen2_5_7b,first,0,326.0,0.6928460475427355,0.6761377801417102,0.43204507546173404,0.6122193560241131,0.3582355536262332,0.6067799896094326,0.3404197813466583,0.07380952183550082,0.6761377801417102,0.6067799896094326,0.0,0.06935779053227764,0.016708267401025267,0.08606605793330291,0.8058669375333377
qwen2_5_7b,first,1,326.0,0.69043480223889,0.679290175123282,0.43983728629069535,0.6099082041378971,0.3784974182404011,0.5991703419262052,0.3566486572553049,0.06133986805029423,0.679290175123282,0.5991703419262052,0.0,0.08011983319707683,0.01114462711560793,0.09126446031268476,0.8778864513368634
qwen2_5_7b,first,2,326.0,0.6931283615175826,0.6631860098874305,0.3708198929412142,0.5885148470860901,0.31666218395559165,0.593595459470633,0.3219630975695705,0.054157708985622555,0.6631860098874305,0.593595459470633,0.0,0.06959055041679751,0.02994235163015213,0.09953290204694965,0.6991713190877492
qwen2_5_7b,mean,0,326.0,0.6928460475427355,0.6761377801417102,0.43204507546173404,0.4852548862295394,0.25911457464838766,0.49956684327623874,0.2630643279011487,0.17293050081334638,0.6761377801417102,0.49956684327623874,0.0,0.17657093686547148,0.016708267401025267,0.19327920426649675,0.9135537241865523
qwen2_5_7b,mean,1,326.0,0.69043480223889,0.679290175123282,0.43983728629069535,0.5230003986031346,0.28684367856759474,0.539735863964432,0.2960734479081282,0.1529936077231006,0.679290175123282,0.539735863964432,0.0,0.1395543111588501,0.01114462711560793,0.15069893827445802,0.9260470760894748
qwen2_5_7b,mean,2,326.0,0.6931283615175826,0.6631860098874305,0.3708198929412142,0.4864028366911197,0.23368791352457619,0.5186465536490272,0.2531384009323512,0.13713197941663802,0.6631860098874305,0.5186465536490272,0.0,0.14453945623840325,0.02994235163015213,0.17448180786855538,0.828392701818467
