model,token_mode,seed,AURC_q,AURC_a,aurc_gap,I_answer_given_q
llama3_8b,first,0,0.1352883206692298,0.11334533285099675,0.021942987818233048,0.048683849926584144
llama3_8b,first,1,0.1388382290418576,0.10424087428970787,0.03459735475214974,0.05829841838697747
llama3_8b,first,2,0.13555515627736694,0.10552715211665507,0.03002800416071187,0.054763798323071156
llama3_8b,mean,0,0.1352883206692298,0.06847032733588258,0.06681799333334722,0.16427226635143283
llama3_8b,mean,1,0.1388382290418576,0.06487627737035535,0.07396195167150225,0.1592579734351957
llama3_8b,mean,2,0.13555515627736694,0.06401687192511618,0.07153828435225076,0.15726889386305742
mistral_7b,first,0,0.15195133676609926,0.11960687027268654,0.032344466493412716,0.04644028787477472
mistral_7b,first,1,0.1452160528627851,0.10967255967719454,0.035543493185590566,0.06574729567859328
mistral_7b,first,2,0.14737559887749335,0.11436646665629215,0.03300913222120121,0.05903770761824828
mistral_7b,mean,0,0.15195133676609926,0.08070346046183209,0.07124787630426717,0.13849756130271068
mistral_7b,mean,1,0.1452160528627851,0.07246691116281394,0.07274914169997117,0.14877393012271234
mistral_7b,mean,2,0.14737559887749335,0.07388780401521637,0.07348779486227698,0.15122144118738712
qwen2_5_7b,first,0,0.20395465930147885,0.16178194398990461,0.04217271531157424,0.0475057569996975
qwen2_5_7b,first,1,0.1995892773849873,0.16606879220503432,0.033520485179952986,0.04086774382487701
qwen2_5_7b,first,2,0.19699640708769478,0.15608305087698596,0.04091335621070882,0.051597882974735
qwen2_5_7b,mean,0,0.20395465930147885,0.10918698494313905,0.0947676743583398,0.16074667948598814
qwen2_5_7b,mean,1,0.1995892773849873,0.11290321472544065,0.08668606265954665,0.15121025728139986
qwen2_5_7b,mean,2,0.19699640708769478,0.10334862564107937,0.09364778144661541,0.1680744775782549
