model,dataset,token_mode,AURC_q,AURC_a,delta_AURC_state,delta_AURC_state_sd,I_answer_given_q,mean_minus_first_gap
llama3_8b,truthfulqa,first,0.48132582267350804,0.4543154966565382,0.02701032601696986,0.015512165104491552,0.034389485583743884,0.11882078023337074
llama3_8b,truthfulqa,mean,0.48132582267350804,0.33549471642316747,0.1458311062503406,0.00704017411542278,0.14855348115138314,0.11882078023337074
mistral_7b,truthfulqa,first,0.4016897318933023,0.3930818059699812,0.008607925923321066,0.025019217358277966,0.031672721239579836,0.0951414078764985
mistral_7b,truthfulqa,mean,0.4016897318933023,0.2979403980934827,0.10374933379981956,0.00699491838850872,0.09281034594473163,0.0951414078764985
qwen2_5_7b,truthfulqa,first,0.41423408489788116,0.3511317186074086,0.06310236629047254,0.009943753672865891,0.073022724715384,0.09124966302722247
qwen2_5_7b,truthfulqa,mean,0.41423408489788116,0.2598820555801862,0.154352029317695,0.017937879347044956,0.15355490142090827,0.09124966302722247
llama3_8b,popqa,first,0.1365605686628181,0.10770445308578656,0.028856115577031553,0.006408060764690925,,0.04191662754200186
llama3_8b,popqa,mean,0.1365605686628181,0.0657878255437847,0.07077274311903341,0.0036329843406131936,,0.04191662754200186
mistral_7b,popqa,first,0.14818099616879257,0.11454863220205774,0.03363236396673483,0.0016881221225957719,,0.03886257365543695
mistral_7b,popqa,mean,0.14818099616879257,0.0756860585466208,0.07249493762217178,0.0011413910686117051,,0.03886257365543695
qwen2_5_7b,popqa,first,0.200180114591387,0.1613112623573083,0.03886885223407868,0.0046744271248438584,,0.05283165392075527
qwen2_5_7b,popqa,mean,0.200180114591387,0.10847960843655302,0.09170050615483395,0.004378586839267265,,0.05283165392075527
