model,dataset,bin,n,n_correct,mass,accuracy,accuracy_lo,accuracy_hi
llama3_8b,pavlick_nli,55,63,28,0.12701612903225806,0.4444444444444444,0.3284690053363267,0.5668057935912871
llama3_8b,pavlick_nli,60,406,234,0.8185483870967742,0.5763546798029556,0.5277932949064744,0.6234846622359923
llama3_8b,pavlick_nli,65,27,20,0.05443548387096774,0.7407407407407407,0.553210695973843,0.8682979157713322
llama3_8b,truthfulqa,0,1,0,0.0012239902080783353,0.0,0.0,0.7934567085261071
llama3_8b,truthfulqa,25,2,0,0.0024479804161566705,0.0,0.0,0.6576280471103807
llama3_8b,truthfulqa,35,1,0,0.0012239902080783353,0.0,0.0,0.7934567085261071
llama3_8b,truthfulqa,40,2,2,0.0024479804161566705,1.0,0.34237195288961925,1.0
llama3_8b,truthfulqa,50,8,3,0.009791921664626682,0.375,0.13684175946152105,0.6942621454161981
llama3_8b,truthfulqa,55,39,16,0.04773561811505508,0.41025641025641024,0.27079089435400483,0.5658165152665509
llama3_8b,truthfulqa,60,183,68,0.22399020807833536,0.37158469945355194,0.3048845646521985,0.4435654593253313
llama3_8b,truthfulqa,65,270,128,0.33047735618115054,0.4740740740740741,0.41529523822055053,0.5335803161145103
llama3_8b,truthfulqa,70,208,84,0.25458996328029376,0.40384615384615385,0.3394917686902063,0.4716879051793265
llama3_8b,truthfulqa,75,78,36,0.09547123623011015,0.46153846153846156,0.35532213417762043,0.5713655161126965
llama3_8b,truthfulqa,80,21,12,0.025703794369645042,0.5714285714285714,0.3654621629703244,0.7553030051347894
llama3_8b,truthfulqa,85,4,2,0.004895960832313341,0.5,0.15003570882017148,0.8499642911798285
mistral_7b,pavlick_nli,35,4,3,0.008064516129032258,0.75,0.3006360524426366,0.9544139373553637
mistral_7b,pavlick_nli,40,37,28,0.07459677419354839,0.7567567567567568,0.5988239750929105,0.8663879656733671
mistral_7b,pavlick_nli,45,119,100,0.2399193548387097,0.8403361344537815,0.7640484451643166,0.8953373003811664
mistral_7b,pavlick_nli,50,88,79,0.1774193548387097,0.8977272727272727,0.8169257242733358,0.9452561192485541
mistral_7b,pavlick_nli,55,98,74,0.1975806451612903,0.7551020408163265,0.6614070439739144,0.8295514641406478
mistral_7b,pavlick_nli,60,100,79,0.20161290322580644,0.79,0.7001985069803768,0.8583445046835422
mistral_7b,pavlick_nli,65,40,38,0.08064516129032258,0.95,0.834958291820748,0.9861796228538989
mistral_7b,pavlick_nli,70,9,9,0.018145161290322582,1.0,0.7008472464490407,1.0
mistral_7b,pavlick_nli,75,1,1,0.0020161290322580645,1.0,0.20654329147389294,1.0
mistral_7b,truthfulqa,35,8,3,0.009791921664626682,0.375,0.13684175946152105,0.6942621454161981
mistral_7b,truthfulqa,40,69,29,0.08445532435740515,0.42028985507246375,0.3110593225861805,0.5379280692338784
mistral_7b,truthfulqa,45,171,74,0.20930232558139536,0.4327485380116959,0.36077019416883227,0.5076821649951195
mistral_7b,truthfulqa,50,234,104,0.2864137086903305,0.4444444444444444,0.3821837563287802,0.5084997910405613
mistral_7b,truthfulqa,55,197,110,0.24112607099143207,0.5583756345177665,0.4885717660797556,0.625946341722612
mistral_7b,truthfulqa,60,97,48,0.11872705018359853,0.4948453608247423,0.3974565165320967,0.5926269410885678
mistral_7b,truthfulqa,65,33,20,0.04039167686658507,0.6060606060606061,0.4368314280651038,0.7531711776849179
mistral_7b,truthfulqa,70,7,5,0.008567931456548347,0.7142857142857143,0.35892909014821267,0.9177828342909844
mistral_7b,truthfulqa,75,1,0,0.0012239902080783353,0.0,0.0,0.7934567085261071
qwen2_5_7b,pavlick_nli,50,1,0,0.0020161290322580645,0.0,0.0,0.7934567085261071
qwen2_5_7b,pavlick_nli,55,1,0,0.0020161290322580645,0.0,0.0,0.7934567085261071
qwen2_5_7b,pavlick_nli,60,4,1,0.008064516129032258,0.25,0.045586062644636216,0.6993639475573634
qwen2_5_7b,pavlick_nli,65,7,2,0.014112903225806451,0.2857142857142857,0.0822171657090155,0.6410709098517873
qwen2_5_7b,pavlick_nli,70,6,1,0.012096774193548387,0.16666666666666666,0.03005258587173032,0.563509436563646
qwen2_5_7b,pavlick_nli,75,11,5,0.02217741935483871,0.45454545454545453,0.21270957543988045,0.7199122443100118
qwen2_5_7b,pavlick_nli,80,31,16,0.0625,0.5161290322580645,0.34840118286973176,0.6803001396872117
qwen2_5_7b,pavlick_nli,85,28,13,0.056451612903225805,0.4642857142857143,0.29531303739659587,0.6418760485789833
qwen2_5_7b,pavlick_nli,90,66,57,0.13306451612903225,0.8636363636363636,0.7607018517959349,0.9265676265665311
qwen2_5_7b,pavlick_nli,95,227,210,0.4576612903225806,0.9251101321585903,0.883351131968533,0.9527200094548498
qwen2_5_7b,pavlick_nli,100,114,110,0.22983870967741934,0.9649122807017544,0.9132402851480909,0.986272280872737
qwen2_5_7b,truthfulqa,10,8,0,0.009791921664626682,0.0,0.0,0.3244156195108769
qwen2_5_7b,truthfulqa,15,18,0,0.022031823745410038,0.0,0.0,0.1758845505823749
qwen2_5_7b,truthfulqa,20,13,0,0.01591187270501836,0.0,0.0,0.22810184305529166
qwen2_5_7b,truthfulqa,25,6,2,0.0073439412484700125,0.3333333333333333,0.09676933255921683,0.7000116786584712
qwen2_5_7b,truthfulqa,30,5,2,0.006119951040391677,0.4,0.1176182311592533,0.769280067791163
qwen2_5_7b,truthfulqa,35,4,0,0.004895960832313341,0.0,0.0,0.48990002040399916
qwen2_5_7b,truthfulqa,40,5,0,0.006119951040391677,0.0,-2.7755575615628914e-17,0.43449149475208104
qwen2_5_7b,truthfulqa,45,8,1,0.009791921664626682,0.125,0.02241690886329617,0.4708948057698615
qwen2_5_7b,truthfulqa,50,4,1,0.004895960832313341,0.25,0.045586062644636216,0.6993639475573634
qwen2_5_7b,truthfulqa,55,4,0,0.004895960832313341,0.0,0.0,0.48990002040399916
qwen2_5_7b,truthfulqa,60,7,1,0.008567931456548347,0.14285714285714285,0.02567895594897479,0.51313450331903
qwen2_5_7b,truthfulqa,65,9,0,0.011015911872705019,0.0,0.0,0.2991527535509594
qwen2_5_7b,truthfulqa,70,7,3,0.008567931456548347,0.42857142857142855,0.15821692226262685,0.7495457695909742
qwen2_5_7b,truthfulqa,75,10,2,0.012239902080783354,0.2,0.056680947980693314,0.5098431532792765
qwen2_5_7b,truthfulqa,80,17,4,0.0208078335373317,0.23529411764705882,0.0955488907167594,0.47262245889171595
qwen2_5_7b,truthfulqa,85,30,8,0.03671970624235006,0.26666666666666666,0.14182495553910618,0.4444830204431169
qwen2_5_7b,truthfulqa,90,37,20,0.04528763769889841,0.5405405405405406,0.38383779524767364,0.6896167217154228
qwen2_5_7b,truthfulqa,95,123,56,0.15055079559363524,0.45528455284552843,0.36996169882052465,0.5433159640282568
qwen2_5_7b,truthfulqa,100,502,304,0.6144430844553244,0.6055776892430279,0.562177665933522,0.6473740988877186
